Sample	Cancertype	Cancertype_PDC	TN
UCEC_C3N.00858_T	UCEC	UCEC	tumor
UCEC_C3L.01252_T	UCEC	UCEC	tumor
UCEC_C3L.00947_T	UCEC	UCEC	tumor
UCEC_C3N.00734_T	UCEC	UCEC	tumor
UCEC_C3L.01248_T	UCEC	UCEC	tumor
UCEC_C3N.00850_T	UCEC	UCEC	tumor
UCEC_C3L.00361_T	UCEC	UCEC	tumor
UCEC_C3L.01249_T	UCEC	UCEC	tumor
UCEC_C3N.00383_T	UCEC	UCEC	tumor
UCEC_C3L.00949_T	UCEC	UCEC	tumor
UCEC_C3L.00032_T	UCEC	UCEC	tumor
UCEC_C3L.01744_T	UCEC	UCEC	tumor
UCEC_C3L.01311_T	UCEC	UCEC	tumor
UCEC_C3L.01256_T	UCEC	UCEC	tumor
UCEC_C3L.00358_T	UCEC	UCEC	tumor
UCEC_C3L.00942_T	UCEC	UCEC	tumor
UCEC_C3N.00389_T	UCEC	UCEC	tumor
UCEC_C3L.01307_T	UCEC	UCEC	tumor
UCEC_C3L.01282_T	UCEC	UCEC	tumor
UCEC_C3L.01304_T	UCEC	UCEC	tumor
UCEC_C3L.00946_T	UCEC	UCEC	tumor
UCEC_C3N.00322_T	UCEC	UCEC	tumor
UCEC_C3N.00337_T	UCEC	UCEC	tumor
UCEC_C3N.00333_T	UCEC	UCEC	tumor
UCEC_C3L.00006_T	UCEC	UCEC	tumor
UCEC_C3L.00769_T	UCEC	UCEC	tumor
UCEC_C3L.00362_T	UCEC	UCEC	tumor
UCEC_C3L.01312_T	UCEC	UCEC	tumor
UCEC_C3L.00449_T	UCEC	UCEC	tumor
UCEC_C3L.00601_T	UCEC	UCEC	tumor
UCEC_C3N.00729_T	UCEC	UCEC	tumor
UCEC_C3L.00586_T	UCEC	UCEC	tumor
UCEC_C3N.01212_T	UCEC	UCEC	tumor
UCEC_C3N.00836_T	UCEC	UCEC	tumor
UCEC_C3N.00339_T	UCEC	UCEC	tumor
UCEC_C3L.01246_T	UCEC	UCEC	tumor
UCEC_C3L.01257_T	UCEC	UCEC	tumor
UCEC_C3L.00780_T	UCEC	UCEC	tumor
UCEC_C3N.01217_T	UCEC	UCEC	tumor
UCEC_C3N.00323_T	UCEC	UCEC	tumor
UCEC_C3L.00918_T	UCEC	UCEC	tumor
UCEC_C3N.00866_T	UCEC	UCEC	tumor
UCEC_C3L.00932_T	UCEC	UCEC	tumor
UCEC_C3L.00963_T	UCEC	UCEC	tumor
UCEC_C3N.00335_T	UCEC	UCEC	tumor
UCEC_C3N.00326_T	UCEC	UCEC	tumor
UCEC_C3L.00961_T	UCEC	UCEC	tumor
UCEC_C3L.00770_T	UCEC	UCEC	tumor
UCEC_C3N.00200_T	UCEC	UCEC	tumor
UCEC_C3N.00379_T	UCEC	UCEC	tumor
UCEC_C3L.01275_T	UCEC	UCEC	tumor
UCEC_C3N.01003_T	UCEC	UCEC	tumor
UCEC_C3N.00386_T	UCEC	UCEC	tumor
UCEC_C3L.00145_T	UCEC	UCEC	tumor
UCEC_C3N.01211_T	UCEC	UCEC	tumor
UCEC_C3L.01247_T	UCEC	UCEC	tumor
UCEC_C3N.00340_T	UCEC	UCEC	tumor
UCEC_C3N.01825_T	UCEC	UCEC	tumor
UCEC_C3N.01267_T	UCEC	UCEC	tumor
UCEC_C3N.00321_T	UCEC	UCEC	tumor
UCEC_C3L.00905_T	UCEC	UCEC	tumor
UCEC_C3L.01253_T	UCEC	UCEC	tumor
UCEC_C3L.00771_T	UCEC	UCEC	tumor
UCEC_C3L.00563_T	UCEC	UCEC	tumor
UCEC_C3L.00356_T	UCEC	UCEC	tumor
UCEC_C3L.00139_T	UCEC	UCEC	tumor
UCEC_C3N.00324_T	UCEC	UCEC	tumor
UCEC_C3L.00605_T	UCEC	UCEC	tumor
UCEC_C3N.00743_T	UCEC	UCEC	tumor
UCEC_C3N.01219_T	UCEC	UCEC	tumor
UCEC_C3N.01520_T	UCEC	UCEC	tumor
UCEC_C3L.00090_T	UCEC	UCEC	tumor
UCEC_C3N.00880_T	UCEC	UCEC	tumor
UCEC_C3N.00328_T	UCEC	UCEC	tumor
UCEC_C3L.00767_T	UCEC	UCEC	tumor
UCEC_C3N.01346_T	UCEC	UCEC	tumor
UCEC_C3N.00388_T	UCEC	UCEC	tumor
UCEC_C3N.01537_T	UCEC	UCEC	tumor
UCEC_C3L.00413_T	UCEC	UCEC	tumor
UCEC_C3L.00157_T	UCEC	UCEC	tumor
UCEC_C3L.00161_T	UCEC	UCEC	tumor
UCEC_C3N.01349_T	UCEC	UCEC	tumor
UCEC_C3N.01521_T	UCEC	UCEC	tumor
UCEC_C3L.00098_T	UCEC	UCEC	tumor
UCEC_C3N.00334_T	UCEC	UCEC	tumor
UCEC_C3N.00377_T	UCEC	UCEC	tumor
UCEC_C3L.00143_T	UCEC	UCEC	tumor
UCEC_C3N.01510_T	UCEC	UCEC	tumor
UCEC_C3L.01925_T	UCEC	UCEC	tumor
UCEC_C3L.00921_T	UCEC	UCEC	tumor
UCEC_C3L.00156_T	UCEC	UCEC	tumor
UCEC_C3L.00938_T	UCEC	UCEC	tumor
UCEC_C3L.00137_T	UCEC	UCEC	tumor
UCEC_C3N.00848_T	UCEC	UCEC	tumor
UCEC_C3L.00781_T	UCEC	UCEC	tumor
UCEC_C3N.01802_T	UCEC	UCEC	tumor
UCEC_C3N.00151_T	UCEC	UCEC	tumor
UCEC_C3L.00136_T	UCEC	UCEC	tumor
UCEC_C3L.00008_T	UCEC	UCEC	tumor
UCEC_C3N.00847_T	UCEC	UCEC	tumor
LUAD_C3N.01799_T	LUAD	LUAD	tumor
LUAD_C3L.01890_T	LUAD	LUAD	tumor
LUAD_C3N.00572_T	LUAD	LUAD	tumor
LUAD_C3N.02423_T	LUAD	LUAD	tumor
LUAD_C3N.02729_T	LUAD	LUAD	tumor
LUAD_C3L.00263_T	LUAD	LUAD	tumor
LUAD_C3N.01410_T	LUAD	LUAD	tumor
LUAD_C3N.00578_T	LUAD	LUAD	tumor
LUAD_C3N.02587_T_1	LUAD	LUAD	tumor
LUAD_C3L.00893_T	LUAD	LUAD	tumor
LUAD_C3N.01488_T	LUAD	LUAD	tumor
LUAD_C3N.01413_T	LUAD	LUAD	tumor
LUAD_C3N.01030_T	LUAD	LUAD	tumor
LUAD_C3N.02588_T	LUAD	LUAD	tumor
LUAD_C3N.00552_T	LUAD	LUAD	tumor
LUAD_C3L.01889_T	LUAD	LUAD	tumor
LUAD_C3N.00169_T	LUAD	LUAD	tumor
LUAD_C3L.00422_T	LUAD	LUAD	tumor
LUAD_C3L.00083_T	LUAD	LUAD	tumor
LUAD_C3N.00551_T	LUAD	LUAD	tumor
LUAD_C3N.01842_T	LUAD	LUAD	tumor
LUAD_C3N.02089_T	LUAD	LUAD	tumor
LUAD_C3L.01682_T	LUAD	LUAD	tumor
LUAD_C3N.01016_T	LUAD	LUAD	tumor
LUAD_C3N.00580_T	LUAD	LUAD	tumor
LUAD_11LU013_T	LUAD	LUAD	tumor
LUAD_C3N.02000_T	LUAD	LUAD	tumor
LUAD_C3N.01489_T	LUAD	LUAD	tumor
LUAD_C3N.00737_T	LUAD	LUAD	tumor
LUAD_C3N.01405_T	LUAD	LUAD	tumor
LUAD_C3N.02587_T_2	LUAD	LUAD	tumor
LUAD_C3N.01416_T	LUAD	LUAD	tumor
LUAD_C3N.02149_T	LUAD	LUAD	tumor
LUAD_C3N.02424_T	LUAD	LUAD	tumor
LUAD_C3L.00279_T	LUAD	LUAD	tumor
LUAD_C3N.02379_T_1	LUAD	LUAD	tumor
LUAD_C3L.00095_T	LUAD	LUAD	tumor
LUAD_C3N.02572_T	LUAD	LUAD	tumor
LUAD_C3N.00559_T	LUAD	LUAD	tumor
LUAD_C3N.00545_T	LUAD	LUAD	tumor
LUAD_11LU016_T	LUAD	LUAD	tumor
LUAD_C3L.02345_T	LUAD	LUAD	tumor
LUAD_C3L.00093_T	LUAD	LUAD	tumor
LUAD_C3L.00510_T	LUAD	LUAD	tumor
LUAD_C3L.00913_T	LUAD	LUAD	tumor
LUAD_11LU022_T	LUAD	LUAD	tumor
LUAD_C3L.00412_T	LUAD	LUAD	tumor
LUAD_C3N.01415_T	LUAD	LUAD	tumor
LUAD_C3N.00549_T	LUAD	LUAD	tumor
LUAD_C3N.02433_T	LUAD	LUAD	tumor
LUAD_C3N.01021_T	LUAD	LUAD	tumor
LUAD_C3N.00203_T	LUAD	LUAD	tumor
LUAD_C3L.01330_T	LUAD	LUAD	tumor
LUAD_C3N.00574_T	LUAD	LUAD	tumor
LUAD_11LU035_T	LUAD	LUAD	tumor
