"UNIPROT"	"Entrez"	"symbol"	"GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1"	"GBM_GTEX.UTHO.0011.R10A.SM.HAKY2"	"GBM_GTEX.R55F.0011.R10A.SM.HAKXY"	"GBM_GTEX.QVJO.0011.R10A.SM.HAKXV"	"GBM_GTEX.P44H.0011.R10A.SM.HAKXX"	"GBM_GTEX.RU72.0011.R10A.SM.HAKXS"	"GBM_GTEX.RN5K.0011.R10A.SM.HAKXU"	"GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ"	"GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT"	"GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW"
"A0A075B6H9"	28784	"IGLV4-69"	-2.33670465946162	-0.803496910976274	-3.86815287698692	-1.32068256423753	-1.24295831416423	-0.483975067976769	-0.76805114190675	-1.20802528745663	-2.43906330332212	-1.68189899295671
"A0A075B6I0"	28774	"IGLV8-61"	-3.54715318578963	0.0224874510036331	-1.44828352585866	-1.55146050130842	-2.86601690384319	-1.89046879363896	-1.96912568644777	NA	-1.86827555131337	-1.61239511467746
"A0A075B6I1"	28785	"IGLV4-60"	-7.14208251177449	-1.46267734371654	-3.72835028451456	-2.94026226159536	-2.74385687522037	-3.02269468670263	-5.52939853942642	NA	-3.21734366417708	-3.23383380591307
"A0A075B6I4"	28772	"IGLV10-54"	-0.32110714801554	-1.16388530237089	-2.01659056127723	-1.95266882258163	-0.263313674275963	-0.38352097374147	-0.806776653209593	-1.07721470979713	-1.19142676287953	-0.535573625423736
"A0A075B6I9"	28775	"IGLV7-46"	-1.46455054022277	-2.80443960517494	-2.53881227943182	-2.56161715343353	-3.02893063215573	NA	-3.20498579869219	NA	-2.44546973377216	-2.81754441781348
"A0A075B6J9"	28814	"IGLV2-18"	0.0092206451450123	-0.302310230024076	-0.689185128180586	-1.83418935903701	0.0732893401929701	-0.473244258020504	-0.456307320140851	-1.00424320431028	NA	NA
"A0A075B6K4"	28803	"IGLV3-10"	NA	-1.67921276505304	-0.735473816950642	-0.976968478462281	NA	-0.512366733455807	-1.26543383586984	-3.46021762084407	NA	0.759913171054874
"A0A075B6K5"	28804	"IGLV3-9"	-3.14504904081659	-2.26070940154628	-2.34430032113768	-1.13758123663371	-1.75312797653935	-0.482730271818138	-0.776095170437245	-1.09060615437138	-1.63344847674393	-0.908076840665861
"A0A075B6Q5"	28414	"IGHV3-64"	-2.7252966961856	-1.17037929792309	-1.11540711341183	-2.01900606905812	-0.591412757410451	-1.87041877578033	-1.17373481941191	-2.76851334598966	-0.100101368601785	-0.307252178139698
"A0A075B6R2"	28401	"IGHV4-4"	-3.53316128012178	-2.40898041767271	-2.81547324841118	-4.24692828658056	-1.027166079693	-0.51705978624382	-1.61536372250959	-1.32809074800566	-0.622808264586151	-0.993913235473582
