UNIPROT	Entrez	symbol	OV_01OV007_N	OV_17OV003_N	OV_01OV023_N	OV_17OV005_N	OV_01OV017_N	OV_11OV002_N	OV_01OV029_N	OV_14OV011_N	OV_17OV004_N	OV_01OV039_N	OV_15OV001_N	OV_01OV013_N	OV_11OV010_N	OV_01OV019_N	OV_01OV008_N	OV_14OV029_N	OV_01OV010_N	OV_17OV002_N	OV_17OV001_N
A0A075B6H9	28784	IGLV4-69	0.445620576	0.872560698	0.236766763	-0.918282049	-3.017094607	0.564848582	0.375499088	0.146924006	0.052250327	-0.073760524	3.834116764	-0.435329824	0.929799754	0.821422705	-0.178016197	3.053485825	-0.503660413	-0.203970376	-1.330612339
A0A075B6I0	28774	IGLV8-61	1.759461987	1.583908395	-0.082713659	0.786267435	0.455544042	1.090497693	0.712880291	0.609099096	0.077247965	1.20152372	1.222903228	0.972723864	2.698527499	0.251103221	2.223083405	1.925675893	-1.173134922	-0.805730385	0.108598351
A0A075B6I1	28785	IGLV4-60	1.591033282	-0.506822771	0.678503866	0.011549206	-4.736160335	0.102196526	-0.036163765	0.620488596	0.676240509	0.752259501	2.229026172	-0.886076753	0.485552767	-1.570080983	-0.456015255	1.912228684	-0.766159443	-0.659019663	-0.420864732
A0A075B6I4	28772	IGLV10-54	0.483966371	-0.491246088	2.153467928	-0.078832436	NA	NA	1.016908536	0.419308022	-0.442655284	-0.17155848	3.684289112	1.079426306	2.927989448	0.026087435	-0.283392059	2.837719393	NA	0.85299753	NA
A0A075B6J9	28814	IGLV2-18	1.028045796	1.335956372	1.489165859	0.095751932	-0.434755864	0.541893465	2.507704105	0.666953882	1.367510319	0.667701332	0.469410377	-0.16895048	1.552976651	NA	NA	2.263061184	0.795039725	0.629260292	1.224895001
A0A075B6K4	28803	IGLV3-10	NA	-1.451906817	1.729652529	-0.815632749	-0.736110168	-0.942889363	0.413253446	-1.323128732	0.05120799	NA	-0.878031702	-2.194401399	-1.77166251	0.314065744	-3.479948351	0.05526916	-1.316409953	-1.888840259	-0.885058412
A0A075B6K5	28804	IGLV3-9	-0.838303342	-0.346279794	1.78851744	-0.241663814	-0.608175772	2.644696856	1.723886307	0.016816341	-0.649744926	-0.165943904	0.439158561	-0.716424591	-0.203491152	-0.124128269	0.255474617	2.352786045	0.33663303	-2.817333937	-1.1379722
A0A075B6R2	28401	IGHV4-4	1.265408797	0.849327112	1.431353019	0.143864853	0.174338417	1.897303298	-0.121000155	-1.00173273	-0.659495935	0.23835301	-2.186650317	-1.588873232	0.87064898	0.576279912	0.70577743	-0.836895985	-1.747020386	-0.222886946	-1.813219998
A0A087WSZ0	28904	IGKV1D-8	-0.152753424	-0.990348415	0.831539268	-0.755028312	0.686339531	0.936029451	0.151960432	-1.341871168	1.081669553	-0.746652964	NA	-1.006832895	-0.033338901	0.020187979	1.034865251	0.871444104	-0.59670889	-0.490766601	-0.852418782
A0A0A0MS15	28423	IGHV3-49	-0.027397462	0.883493935	1.236431129	-0.373357334	0.103856979	1.099761425	-0.244916448	-1.453925875	0.137913151	-0.650639096	-0.21616151	-0.542471117	0.993689673	0.548878659	-1.10429498	0.282993337	-2.152832938	-0.236693679	NA
