"UNIPROT"	"class"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"A1L4H1"	"protease"	"-0.13"	"0.88"	" (0.69-1.1)"	"1.2"	"0.28"
"O00232"	"protease"	"0.2"	"1.2"	" (0.75-2)"	"0.63"	"0.43"
"O00233"	"protease"	"-0.25"	"0.78"	" (0.55-1.1)"	"1.7"	"0.19"
"O00507"	"protease"	"0.16"	"1.2"	" (0.93-1.5)"	"2.1"	"0.15"
"O14672"	"protease"	"-0.18"	"0.84"	" (0.64-1.1)"	"1.6"	"0.2"
"O14773"	"protease"	"0.24"	"1.3"	" (0.92-1.8)"	"2.2"	"0.14"
"O14818"	"protease"	"0.041"	"1"	" (0.67-1.6)"	"0.033"	"0.86"
"O15484"	"protease"	"0.2"	"1.2"	" (0.88-1.7)"	"1.5"	"0.22"
"O43242"	"protease"	"-0.52"	"0.6"	" (0.36-0.97)"	"4.1"	"0.042"
"O43464"	"protease"	"0.094"	"1.1"	" (0.79-1.5)"	"0.32"	"0.57"
"O43847"	"protease"	"0.017"	"1"	" (0.68-1.5)"	"0.0068"	"0.93"
"O75173"	"protease"	"0.31"	"1.4"	" (1-1.8)"	"4.3"	"0.037"
"O75439"	"protease"	"-0.42"	"0.66"	" (0.45-0.97)"	"4.4"	"0.035"
"O75808"	"protease"	"-0.31"	"0.73"	" (0.55-0.97)"	"4.1"	"0.044"
"O75844"	"protease"	"-0.048"	"0.95"	" (0.76-1.2)"	"0.18"	"0.67"
"O75976"	"protease"	"-0.031"	"0.97"	" (0.72-1.3)"	"0.041"	"0.84"
"O76031"	"protease"	"0.0081"	"1"	" (0.65-1.6)"	"0.0013"	"0.97"
"O94782"	"protease"	"-0.051"	"0.95"	" (0.66-1.4)"	"0.077"	"0.78"
"O94966"	"protease"	"0.081"	"1.1"	" (0.66-1.8)"	"0.1"	"0.75"
"O95084"	"protease"	"-0.096"	"0.91"	" (0.77-1.1)"	"1.3"	"0.25"
"O95428"	"protease"	"-0.027"	"0.97"	" (0.75-1.3)"	"0.043"	"0.84"
"O95450"	"protease"	"-0.11"	"0.9"	" (0.74-1.1)"	"1.1"	"0.28"
"O95630"	"protease"	"0.24"	"1.3"	" (0.81-2)"	"1.1"	"0.3"
"O95870"	"protease"	"-0.26"	"0.77"	" (0.52-1.1)"	"1.8"	"0.18"
"P00734"	"protease"	"0.41"	"1.5"	" (1.1-2.1)"	"6.5"	"0.011"
"P00736"	"protease"	"0.31"	"1.4"	" (1-1.9)"	"4.1"	"0.043"
"P00738"	"protease"	"0.028"	"1"	" (0.84-1.3)"	"0.076"	"0.78"
"P00739"	"protease"	"0.12"	"1.1"	" (0.93-1.4)"	"1.4"	"0.24"
"P00740"	"protease"	"0.18"	"1.2"	" (0.9-1.6)"	"1.6"	"0.21"
"P00742"	"protease"	"0.2"	"1.2"	" (0.93-1.6)"	"2.1"	"0.15"
"P00746"	"protease"	"0.27"	"1.3"	" (0.97-1.8)"	"3.1"	"0.077"
"P00747"	"protease"	"0.5"	"1.7"	" (1.2-2.3)"	"9.6"	"0.002"
"P00748"	"protease"	"0.17"	"1.2"	" (0.84-1.7)"	"0.91"	"0.34"
"P00749"	"protease"	"0.24"	"1.3"	" (0.98-1.7)"	"3.4"	"0.065"
"P00750"	"protease"	"-0.11"	"0.9"	" (0.77-1)"	"2"	"0.16"
