"rownames(HR_result)"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"1"	"A0A075B6H9"	"0.19"	"1.2"	" (0.79-1.9)"	"0.76"	"0.38"
"2"	"A0A075B6I0"	"-0.12"	"0.89"	" (0.59-1.4)"	"0.3"	"0.58"
"3"	"A0A075B6I1"	"0.12"	"1.1"	" (0.72-1.8)"	"0.27"	"0.61"
"4"	"A0A075B6I4"	"-0.041"	"0.96"	" (0.6-1.5)"	"0.03"	"0.86"
"5"	"A0A075B6J9"	"-0.0088"	"0.99"	" (0.65-1.5)"	"0.0017"	"0.97"
"6"	"A0A075B6K4"	"-0.0074"	"0.99"	" (0.63-1.6)"	"0.001"	"0.97"
"7"	"A0A075B6K5"	"0.17"	"1.2"	" (0.77-1.8)"	"0.61"	"0.44"
"8"	"A0A075B6Q5"	"-0.14"	"0.87"	" (0.57-1.3)"	"0.41"	"0.52"
"9"	"A0A075B6R2"	"-0.14"	"0.87"	" (0.56-1.4)"	"0.37"	"0.54"
"10"	"A0A075B6S5"	"0.5"	"1.7"	" (1.1-2.5)"	"5.3"	"0.021"
"11"	"A0A0A0MS14"	"0.24"	"1.3"	" (0.81-2)"	"1.1"	"0.29"
"12"	"A0A0A0MS15"	"0.3"	"1.4"	" (0.89-2.1)"	"2"	"0.15"
"13"	"A0A0B4J1U3"	"0.33"	"1.4"	" (0.91-2.1)"	"2.3"	"0.13"
"14"	"A0A0B4J1U7"	"0.11"	"1.1"	" (0.74-1.7)"	"0.28"	"0.6"
"15"	"A0A0B4J1V0"	"-0.12"	"0.89"	" (0.58-1.3)"	"0.33"	"0.57"
"16"	"A0A0B4J1V1"	"0.12"	"1.1"	" (0.69-1.8)"	"0.22"	"0.64"
"17"	"A0A0B4J1V2"	"0.063"	"1.1"	" (0.7-1.6)"	"0.088"	"0.77"
"18"	"A0A0B4J1V6"	"0.062"	"1.1"	" (0.68-1.7)"	"0.073"	"0.79"
"19"	"A0A0B4J1X5"	"-0.35"	"0.71"	" (0.46-1.1)"	"2.6"	"0.11"
"20"	"A0A0B4J1X8"	"0.25"	"1.3"	" (0.84-2)"	"1.3"	"0.25"
"21"	"A0A0B4J1Y8"	"0.12"	"1.1"	" (0.74-1.7)"	"0.3"	"0.59"
"22"	"A0A0B4J1Y9"	"0.24"	"1.3"	" (0.83-1.9)"	"1.2"	"0.27"
"23"	"A0A0C4DH24"	"-0.57"	"0.57"	" (0.36-0.89)"	"6.1"	"0.014"
"24"	"A0A0C4DH25"	"0.089"	"1.1"	" (0.7-1.7)"	"0.15"	"0.7"
"25"	"A0A0C4DH29"	"0.072"	"1.1"	" (0.68-1.7)"	"0.095"	"0.76"
"26"	"A0A0C4DH31"	"-0.21"	"0.81"	" (0.53-1.2)"	"0.99"	"0.32"
"27"	"A0A0C4DH33"	"-0.33"	"0.72"	" (0.46-1.1)"	"2.2"	"0.14"
