"rownames(HR_result)"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"1"	"A0A075B6H9"	"0.046"	"1"	" (0.15-7.5)"	"0.0021"	"0.96"
"2"	"A0A075B6J9"	"0.0075"	"1"	" (0.25-4.1)"	"0.00011"	"0.99"
"3"	"A0A075B6K5"	"1.2"	"3.3"	" (0.59-18)"	"2"	"0.16"
"4"	"A0A075B6S5"	"-0.051"	"0.95"	" (0.24-3.8)"	"0.0052"	"0.94"
"5"	"A0A0A0MS15"	"-0.82"	"0.44"	" (0.09-2.2)"	"1.1"	"0.28"
"6"	"A0A0B4J1U3"	"0.69"	"2"	" (0.51-7.9)"	"1"	"0.32"
"7"	"A0A0B4J1U7"	"-0.08"	"0.92"	" (0.25-3.4)"	"0.014"	"0.9"
"8"	"A0A0B4J1V0"	"1.4"	"4"	" (0.48-33)"	"2.3"	"0.13"
"9"	"A0A0B4J1V2"	"-0.11"	"0.89"	" (0.22-3.6)"	"0.026"	"0.87"
"10"	"A0A0B4J1X5"	"-0.23"	"0.8"	" (0.14-4.5)"	"0.068"	"0.79"
"11"	"A0A0B4J1Y8"	"-0.21"	"0.81"	" (0.11-5.8)"	"0.044"	"0.83"
"12"	"A0A0B4J1Y9"	"-21"	"8.4e-10"	" (0-Inf)"	"7.2"	"0.0072"
"13"	"A0A0C4DH29"	"-1.1"	"0.35"	" (0.057-2.1)"	"1.3"	"0.25"
"14"	"A0A0C4DH31"	"0.12"	"1.1"	" (0.25-5.2)"	"0.025"	"0.87"
"15"	"A0A0C4DH34"	"-0.53"	"0.59"	" (0.14-2.5)"	"0.55"	"0.46"
"16"	"A0A0C4DH36"	"-0.24"	"0.79"	" (0.18-3.5)"	"0.099"	"0.75"
"17"	"A0A0C4DH38"	"-0.14"	"0.87"	" (0.22-3.5)"	"0.042"	"0.84"
"18"	"A0A0J9YX35"	"-0.2"	"0.82"	" (0.14-4.6)"	"0.051"	"0.82"
"19"	"A0A0J9YXX1"	"-0.39"	"0.67"	" (0.13-3.5)"	"0.23"	"0.63"
"20"	"A0A0U1RRL7"	"1.1"	"3"	" (0.63-15)"	"2.3"	"0.13"
"21"	"A0AV96"	"-0.81"	"0.45"	" (0.1-1.9)"	"1.2"	"0.27"
"22"	"A0AVT1"	"-0.56"	"0.57"	" (0.14-2.3)"	"0.64"	"0.42"
"23"	"A0FGR8"	"-0.85"	"0.43"	" (0.086-2.1)"	"1.2"	"0.27"
"24"	"A0JNW5"	"1"	"2.8"	" (0.57-14)"	"1.8"	"0.18"
"25"	"A0M8Q6"	"0.21"	"1.2"	" (0.31-4.9)"	"0.088"	"0.77"
"26"	"A0MZ66"	"-1.3"	"0.27"	" (0.053-1.3)"	"3"	"0.082"
"27"	"A1A4S6"	"-0.41"	"0.66"	" (0.16-2.8)"	"0.33"	"0.57"
"28"	"A1A5B4"	"2"	"7.2"	" (0.84-62)"	"4.6"	"0.032"
"29"	"A1A5D9"	"-1.6"	"0.2"	" (0.025-1.7)"	"3.2"	"0.075"
"30"	"A1IGU5"	"0.32"	"1.4"	" (0.33-5.8)"	"0.2"	"0.66"
"31"	"A1L0T0"	"0.072"	"1.1"	" (0.25-4.6)"	"0.0095"	"0.92"
"32"	"A1L390"	"0.28"	"1.3"	" (0.33-5.3)"	"0.15"	"0.7"
"33"	"A1L4H1"	"0.56"	"1.7"	" (0.46-6.6)"	"0.68"	"0.41"
"34"	"A1X283"	"-0.94"	"0.39"	" (0.078-1.9)"	"1.5"	"0.22"
"35"	"A1Z1Q3"	"0.61"	"1.8"	" (0.34-10)"	"0.53"	"0.47"
"36"	"A2A288"	"0.9"	"2.4"	" (0.4-15)"	"0.95"	"0.33"
"37"	"A2RRP1"	"0.39"	"1.5"	" (0.35-6.2)"	"0.29"	"0.59"
"38"	"A2RTX5"	"0.83"	"2.3"	" (0.46-12)"	"1.2"	"0.28"
"39"	"A2RUS2"	"0.29"	"1.3"	" (0.33-5.4)"	"0.17"	"0.68"
"40"	"A2VDF0"	"-0.14"	"0.87"	" (0.21-3.7)"	"0.034"	"0.85"
"41"	"A3KMH1"	"0.76"	"2.1"	" (0.43-11)"	"0.98"	"0.32"
"42"	"A3KN83"	"-0.49"	"0.61"	" (0.14-2.6)"	"0.47"	"0.49"
"43"	"A4D126"	"0.55"	"1.7"	" (0.33-9)"	"0.46"	"0.5"
"44"	"A4D161"	"-0.58"	"0.56"	" (0.12-2.6)"	"0.56"	"0.45"
"45"	"A4D1E9"	"-0.29"	"0.75"	" (0.18-3.1)"	"0.16"	"0.69"
"46"	"A4D1P6"	"2.1"	"8.2"	" (1-66)"	"6"	"0.014"
"47"	"A4D1U4"	"0.2"	"1.2"	" (0.33-4.6)"	"0.088"	"0.77"
"48"	"A4D2B0"	"-0.56"	"0.57"	" (0.11-3)"	"0.47"	"0.49"
"49"	"A5A3E0"	"1"	"2.8"	" (0.57-14)"	"1.9"	"0.17"
"50"	"A5D8V6"	"-0.84"	"0.43"	" (0.1-1.8)"	"1.4"	"0.24"
"51"	"A5PLN9"	"0.53"	"1.7"	" (0.41-7.2)"	"0.55"	"0.46"
"52"	"A5YKK6"	"-0.51"	"0.6"	" (0.14-2.5)"	"0.51"	"0.48"
"53"	"A6NC98"	"0.11"	"1.1"	" (0.26-4.8)"	"0.02"	"0.89"
"54"	"A6ND36"	"-1.5"	"0.21"	" (0.026-1.8)"	"2.8"	"0.094"
"55"	"A6NDB9"	"2.1"	"8.4"	" (1-67)"	"6.5"	"0.011"
"56"	"A6NDG6"	"-0.032"	"0.97"	" (0.26-3.6)"	"0.0023"	"0.96"
"57"	"A6NDU8"	"0.38"	"1.5"	" (0.36-5.9)"	"0.28"	"0.59"
"58"	"A6NED2"	"-0.53"	"0.59"	" (0.15-2.4)"	"0.57"	"0.45"
"59"	"A6NFQ2"	"-0.56"	"0.57"	" (0.14-2.3)"	"0.66"	"0.42"
"60"	"A6NGB9"	"0.78"	"2.2"	" (0.43-11)"	"0.99"	"0.32"
"61"	"A6NHC0"	"-0.46"	"0.63"	" (0.15-2.7)"	"0.4"	"0.53"
"62"	"A6NHL2"	"0.77"	"2.1"	" (0.42-11)"	"0.91"	"0.34"
"63"	"A6NHQ2"	"0.27"	"1.3"	" (0.29-5.8)"	"0.12"	"0.73"
"64"	"A6NHR9"	"0.15"	"1.2"	" (0.29-4.7)"	"0.048"	"0.83"
"65"	"A6NHX0"	"-1.2"	"0.3"	" (0.063-1.5)"	"2.6"	"0.1"
"66"	"A6NIH7"	"0.088"	"1.1"	" (0.24-4.9)"	"0.013"	"0.91"
"67"	"A6NJ78"	"-0.25"	"0.78"	" (0.19-3.3)"	"0.12"	"0.73"
"68"	"A6NK58"	"1.6"	"4.8"	" (0.57-40)"	"2.9"	"0.088"
"69"	"A6NMZ7"	"0.83"	"2.3"	" (0.24-22)"	"0.58"	"0.44"
"70"	"A7E2V4"	"0.32"	"1.4"	" (0.37-5.2)"	"0.22"	"0.64"
"71"	"A7E2Y1"	"0.93"	"2.5"	" (0.28-23)"	"0.82"	"0.37"
"72"	"A8MXV4"	"1.7"	"5.2"	" (0.65-42)"	"3.5"	"0.06"
"73"	"A8TX70"	"1.4"	"4.1"	" (0.82-20)"	"3.5"	"0.061"
"74"	"A9UHW6"	"-0.7"	"0.49"	" (0.12-2.1)"	"0.96"	"0.33"
"75"	"B0I1T2"	"0.6"	"1.8"	" (0.48-6.9)"	"0.8"	"0.37"
"76"	"B2RTY4"	"-2.1"	"0.12"	" (0.014-1)"	"5.3"	"0.021"
"77"	"C9J7I0"	"-0.53"	"0.59"	" (0.14-2.5)"	"0.54"	"0.46"
"78"	"C9JI98"	"-1.4"	"0.25"	" (0.03-2.1)"	"2.2"	"0.14"
"79"	"C9JLW8"	"-0.65"	"0.52"	" (0.1-2.6)"	"0.69"	"0.41"
"80"	"E9PRG8"	"-0.046"	"0.95"	" (0.16-5.7)"	"0.0026"	"0.96"
"81"	"K7EJ46"	"0.14"	"1.1"	" (0.27-4.8)"	"0.034"	"0.85"
"82"	"L0R6Q1"	"0.38"	"1.5"	" (0.36-6)"	"0.29"	"0.59"
"83"	"L0R819"	"-0.71"	"0.49"	" (0.09-2.7)"	"0.71"	"0.4"
"84"	"O00115"	"0.45"	"1.6"	" (0.42-5.9)"	"0.46"	"0.5"
"85"	"O00116"	"-0.3"	"0.74"	" (0.17-3.1)"	"0.18"	"0.68"
"86"	"O00139"	"-1.2"	"0.31"	" (0.062-1.5)"	"2.4"	"0.12"
"87"	"O00142"	"1.3"	"3.5"	" (0.73-17)"	"3"	"0.085"
"88"	"O00148"	"0.38"	"1.5"	" (0.37-5.9)"	"0.29"	"0.59"
"89"	"O00151"	"-1"	"0.37"	" (0.074-1.8)"	"1.7"	"0.19"
"90"	"O00154"	"-0.45"	"0.64"	" (0.15-2.7)"	"0.38"	"0.54"
"91"	"O00159"	"-0.93"	"0.39"	" (0.094-1.7)"	"1.7"	"0.19"
"92"	"O00160"	"0.64"	"1.9"	" (0.46-7.9)"	"0.78"	"0.38"
"93"	"O00161"	"0.074"	"1.1"	" (0.25-4.6)"	"0.01"	"0.92"
"94"	"O00165"	"0.096"	"1.1"	" (0.25-4.8)"	"0.017"	"0.9"
"95"	"O00168"	"-1.3"	"0.28"	" (0.056-1.4)"	"2.9"	"0.09"
"96"	"O00170"	"0.077"	"1.1"	" (0.27-4.3)"	"0.012"	"0.91"
"97"	"O00178"	"0.041"	"1"	" (0.26-4.2)"	"0.0034"	"0.95"
"98"	"O00182"	"-0.32"	"0.72"	" (0.17-3.1)"	"0.2"	"0.66"
"99"	"O00186"	"0.69"	"2"	" (0.49-8)"	"0.99"	"0.32"
"100"	"O00189"	"-0.97"	"0.38"	" (0.073-2)"	"1.5"	"0.23"
"101"	"O00192"	"0.62"	"1.9"	" (0.46-7.4)"	"0.8"	"0.37"
"102"	"O00193"	"0.051"	"1.1"	" (0.28-3.9)"	"0.0057"	"0.94"
"103"	"O00194"	"-0.62"	"0.54"	" (0.11-2.7)"	"0.63"	"0.43"
"104"	"O00203"	"-0.19"	"0.83"	" (0.2-3.4)"	"0.07"	"0.79"
"105"	"O00214"	"-0.43"	"0.65"	" (0.15-2.7)"	"0.35"	"0.55"
"106"	"O00217"	"1.6"	"4.9"	" (0.61-40)"	"3.2"	"0.072"
"107"	"O00221"	"-0.0062"	"0.99"	" (0.25-4)"	"7.6e-05"	"0.99"
"108"	"O00231"	"-1.2"	"0.31"	" (0.062-1.6)"	"2.4"	"0.12"
"109"	"O00232"	"-1"	"0.36"	" (0.072-1.8)"	"1.8"	"0.18"
"110"	"O00233"	"-0.18"	"0.83"	" (0.19-3.6)"	"0.058"	"0.81"
"111"	"O00244"	"0.62"	"1.9"	" (0.44-7.8)"	"0.73"	"0.39"
"112"	"O00255"	"0.4"	"1.5"	" (0.4-5.6)"	"0.36"	"0.55"
"113"	"O00258"	"0.14"	"1.2"	" (0.19-7)"	"0.025"	"0.87"
"114"	"O00264"	"0.55"	"1.7"	" (0.35-8.7)"	"0.49"	"0.48"
"115"	"O00267"	"-1.1"	"0.35"	" (0.07-1.7)"	"1.9"	"0.17"
"116"	"O00268"	"-0.62"	"0.54"	" (0.13-2.2)"	"0.81"	"0.37"
"117"	"O00273"	"-0.078"	"0.92"	" (0.25-3.5)"	"0.013"	"0.91"
