"UNIPROT"	"class"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"A1L4H1"	"protease"	"-0.38"	"0.68"	" (0.4-1.2)"	"2"	"0.15"
"A6NHC0"	"protease"	"0.14"	"1.2"	" (0.82-1.6)"	"0.67"	"0.41"
"O00187"	"protease"	"-0.21"	"0.81"	" (0.41-1.6)"	"0.37"	"0.54"
"O00232"	"protease"	"0.98"	"2.7"	" (0.89-8.1)"	"3"	"0.084"
"O00233"	"protease"	"0.5"	"1.6"	" (0.47-5.7)"	"0.61"	"0.44"
"O14672"	"protease"	"-0.23"	"0.79"	" (0.42-1.5)"	"0.52"	"0.47"
"O14773"	"protease"	"0.88"	"2.4"	" (1.1-5.4)"	"4.7"	"0.03"
"O14815"	"protease"	"-0.19"	"0.82"	" (0.63-1.1)"	"2"	"0.16"
"O14818"	"protease"	"0.4"	"1.5"	" (0.64-3.5)"	"0.88"	"0.35"
"O15393"	"protease"	"-0.14"	"0.87"	" (0.53-1.4)"	"0.31"	"0.57"
"O15484"	"protease"	"-0.16"	"0.85"	" (0.56-1.3)"	"0.59"	"0.44"
"O43240"	"protease"	"0.18"	"1.2"	" (0.79-1.8)"	"0.72"	"0.39"
"O43242"	"protease"	"0.62"	"1.9"	" (0.68-5.1)"	"1.4"	"0.23"
"O43464"	"protease"	"0.22"	"1.2"	" (0.54-2.9)"	"0.26"	"0.61"
"O43847"	"protease"	"0.76"	"2.1"	" (0.97-4.7)"	"3.5"	"0.062"
"O75173"	"protease"	"0.63"	"1.9"	" (1-3.5)"	"3.8"	"0.053"
"O75439"	"protease"	"-0.19"	"0.83"	" (0.39-1.8)"	"0.25"	"0.62"
"O75808"	"protease"	"-0.068"	"0.93"	" (0.37-2.4)"	"0.021"	"0.89"
"O75844"	"protease"	"0.3"	"1.4"	" (0.71-2.6)"	"0.82"	"0.36"
"O75900"	"protease"	"0.015"	"1"	" (0.61-1.7)"	"0.0034"	"0.95"
"O75976"	"protease"	"-0.067"	"0.94"	" (0.55-1.6)"	"0.062"	"0.8"
"O76031"	"protease"	"-0.17"	"0.84"	" (0.37-1.9)"	"0.17"	"0.68"
"O94966"	"protease"	"0.48"	"1.6"	" (0.43-6)"	"0.51"	"0.47"
"O95084"	"protease"	"0.53"	"1.7"	" (1.1-2.6)"	"5.9"	"0.015"
"O95428"	"protease"	"-0.96"	"0.38"	" (0.2-0.75)"	"7.8"	"0.0053"
"O95450"	"protease"	"0.39"	"1.5"	" (0.7-3.1)"	"1"	"0.31"
"O95630"	"protease"	"0.57"	"1.8"	" (0.7-4.5)"	"1.5"	"0.23"
"O95870"	"protease"	"0.95"	"2.6"	" (0.92-7.2)"	"3.2"	"0.074"
"P00734"	"protease"	"-0.012"	"0.99"	" (0.59-1.6)"	"0.0022"	"0.96"
"P00736"	"protease"	"0.041"	"1"	" (0.54-2)"	"0.015"	"0.9"
"P00738"	"protease"	"0.1"	"1.1"	" (0.88-1.4)"	"0.76"	"0.38"
"P00739"	"protease"	"0.2"	"1.2"	" (0.8-1.9)"	"0.83"	"0.36"
"P00740"	"protease"	"-0.24"	"0.79"	" (0.47-1.3)"	"0.81"	"0.37"
"P00742"	"protease"	"-0.57"	"0.56"	" (0.32-0.98)"	"4.3"	"0.038"
"P00746"	"protease"	"-0.54"	"0.58"	" (0.27-1.2)"	"2"	"0.15"
"P00747"	"protease"	"0.06"	"1.1"	" (0.71-1.6)"	"0.083"	"0.77"
"P00748"	"protease"	"-0.81"	"0.45"	" (0.23-0.87)"	"5.8"	"0.016"
"P00749"	"protease"	"0.44"	"1.5"	" (1.2-2)"	"9.9"	"0.0017"
"P00750"	"protease"	"0.36"	"1.4"	" (1.1-1.8)"	"6.9"	"0.0085"
"P02786"	"protease"	"0.39"	"1.5"	" (0.94-2.3)"	"2.8"	"0.096"
"P02790"	"protease"	"-0.12"	"0.88"	" (0.48-1.6)"	"0.16"	"0.69"
"P03951"	"protease"	"-0.17"	"0.84"	" (0.43-1.6)"	"0.25"	"0.62"
"P03952"	"protease"	"-0.11"	"0.9"	" (0.52-1.6)"	"0.15"	"0.7"
"P03956"	"protease"	"0.11"	"1.1"	" (0.93-1.3)"	"1.3"	"0.25"
"P04070"	"protease"	"-0.18"	"0.83"	" (0.38-1.8)"	"0.21"	"0.65"
"P05156"	"protease"	"-0.18"	"0.84"	" (0.43-1.6)"	"0.27"	"0.6"
"P06870"	"protease"	"-0.15"	"0.86"	" (0.7-1.1)"	"2"	"0.15"
"P07339"	"protease"	"0.46"	"1.6"	" (1-2.5)"	"4.2"	"0.041"
"P07384"	"protease"	"0.88"	"2.4"	" (1-5.6)"	"4.3"	"0.038"
"P07477"	"protease"	"-0.15"	"0.86"	" (0.74-0.99)"	"4.4"	"0.035"
"P07478"	"protease"	"-0.043"	"0.96"	" (0.84-1.1)"	"0.42"	"0.52"
"P07711"	"protease"	"0.82"	"2.3"	" (1-4.9)"	"4.4"	"0.036"
"P07858"	"protease"	"0.6"	"1.8"	" (1.1-3.1)"	"5.1"	"0.023"
"P08217"	"protease"	"-0.18"	"0.83"	" (0.68-1)"	"3.5"	"0.063"
"P08218"	"protease"	"-0.13"	"0.88"	" (0.72-1.1)"	"1.5"	"0.21"
"P08246"	"protease"	"0.42"	"1.5"	" (1.1-2.1)"	"6.2"	"0.013"
"P08253"	"protease"	"0.49"	"1.6"	" (1-2.7)"	"3.8"	"0.051"
"P08311"	"protease"	"0.28"	"1.3"	" (1.1-1.7)"	"6.2"	"0.012"
"P08473"	"protease"	"0.6"	"1.8"	" (1.3-2.5)"	"12"	"5e-04"
"P08519"	"protease"	"-0.24"	"0.79"	" (0.57-1.1)"	"2"	"0.16"
"P08709"	"protease"	"0.59"	"1.8"	" (0.82-4)"	"2.1"	"0.15"
"P08861"	"protease"	"-0.21"	"0.81"	" (0.64-1)"	"3.3"	"0.071"
"P08910"	"protease"	"-0.053"	"0.95"	" (0.55-1.6)"	"0.037"	"0.85"
"P09093"	"protease"	"-0.11"	"0.89"	" (0.77-1)"	"2.4"	"0.12"
"P09237"	"protease"	"0.27"	"1.3"	" (0.96-1.8)"	"2.9"	"0.089"
"P09238"	"protease"	"0.23"	"1.3"	" (1-1.6)"	"3.6"	"0.059"
"P09668"	"protease"	"-0.078"	"0.92"	" (0.59-1.5)"	"0.11"	"0.74"
"P09871"	"protease"	"-0.098"	"0.91"	" (0.46-1.8)"	"0.079"	"0.78"
"P09936"	"protease"	"-0.3"	"0.74"	" (0.47-1.2)"	"1.6"	"0.21"
"P09958"	"protease"	"-0.14"	"0.87"	" (0.52-1.4)"	"0.31"	"0.58"
"P10619"	"protease"	"0.42"	"1.5"	" (0.78-2.9)"	"1.5"	"0.22"
"P10768"	"protease"	"-0.00089"	"1"	" (0.38-2.6)"	"3.2e-06"	"1"
"P12544"	"protease"	"0.0071"	"1"	" (0.67-1.5)"	"0.0012"	"0.97"
"P12821"	"protease"	"-0.01"	"0.99"	" (0.4-2.4)"	"5e-04"	"0.98"
"P12955"	"protease"	"0.41"	"1.5"	" (0.61-3.7)"	"0.78"	"0.38"
"P13497"	"protease"	"0.83"	"2.3"	" (1.4-3.8)"	"9.7"	"0.0018"
"P13798"	"protease"	"-0.11"	"0.9"	" (0.35-2.3)"	"0.051"	"0.82"
"P14091"	"protease"	"-0.084"	"0.92"	" (0.71-1.2)"	"0.41"	"0.52"
"P14210"	"protease"	"-0.78"	"0.46"	" (0.28-0.75)"	"9"	"0.0028"
"P14384"	"protease"	"-0.0049"	"1"	" (0.55-1.8)"	"0.00026"	"0.99"
"P14735"	"protease"	"-0.46"	"0.63"	" (0.31-1.3)"	"1.5"	"0.22"
"P14780"	"protease"	"0.3"	"1.3"	" (1.1-1.7)"	"7.1"	"0.0077"
"P15085"	"protease"	"-0.15"	"0.86"	" (0.74-0.99)"	"4.4"	"0.037"
"P15086"	"protease"	"-0.084"	"0.92"	" (0.81-1)"	"1.7"	"0.19"
"P15088"	"protease"	"0.055"	"1.1"	" (0.87-1.3)"	"0.3"	"0.58"
"P15144"	"protease"	"-0.042"	"0.96"	" (0.64-1.4)"	"0.041"	"0.84"
"P15169"	"protease"	"-0.31"	"0.73"	" (0.37-1.5)"	"0.77"	"0.38"
"P15374"	"protease"	"-0.17"	"0.84"	" (0.35-2)"	"0.14"	"0.71"
"P16444"	"protease"	"-0.25"	"0.78"	" (0.55-1.1)"	"1.9"	"0.17"
"P16519"	"protease"	"-0.17"	"0.84"	" (0.64-1.1)"	"1.5"	"0.22"
"P16870"	"protease"	"-0.075"	"0.93"	" (0.72-1.2)"	"0.34"	"0.56"
"P17655"	"protease"	"-0.35"	"0.7"	" (0.33-1.5)"	"0.8"	"0.37"
"P17980"	"protease"	"0.41"	"1.5"	" (0.58-3.9)"	"0.71"	"0.4"
"P19440"	"protease"	"0.21"	"1.2"	" (0.88-1.7)"	"1.4"	"0.23"
"P20142"	"protease"	"-0.11"	"0.9"	" (0.8-1)"	"3.3"	"0.07"
"P20160"	"protease"	"0.43"	"1.5"	" (1.1-2.1)"	"7.3"	"0.0068"
"P20618"	"protease"	"0.77"	"2.2"	" (0.89-5.3)"	"2.8"	"0.092"
"P20718"	"protease"	"-0.19"	"0.83"	" (0.55-1.2)"	"0.91"	"0.34"
"P20933"	"protease"	"-0.29"	"0.75"	" (0.38-1.5)"	"0.7"	"0.4"
"P21580"	"protease"	"0.51"	"1.7"	" (0.84-3.3)"	"2"	"0.15"
"P21757"	"protease"	"0.38"	"1.5"	" (0.87-2.5)"	"2.2"	"0.14"
"P22695"	"protease"	"-0.34"	"0.71"	" (0.34-1.5)"	"0.89"	"0.35"
"P22891"	"protease"	"-0.044"	"0.96"	" (0.59-1.6)"	"0.032"	"0.86"
"P22894"	"protease"	"0.39"	"1.5"	" (1.1-1.9)"	"8.1"	"0.0043"
"P23946"	"protease"	"0.071"	"1.1"	" (0.82-1.4)"	"0.26"	"0.61"
"P24158"	"protease"	"0.28"	"1.3"	" (1.1-1.7)"	"5.7"	"0.017"
"P24347"	"protease"	"0.37"	"1.5"	" (0.95-2.2)"	"2.9"	"0.087"
"P25774"	"protease"	"-0.18"	"0.83"	" (0.55-1.3)"	"0.79"	"0.37"
"P25786"	"protease"	"0.64"	"1.9"	" (0.71-5.1)"	"1.7"	"0.2"
"P25787"	"protease"	"0.83"	"2.3"	" (0.88-5.9)"	"2.9"	"0.09"
"P25788"	"protease"	"0.9"	"2.5"	" (0.97-6.3)"	"3.6"	"0.057"
"P25789"	"protease"	"0.43"	"1.5"	" (0.61-3.9)"	"0.85"	"0.36"
"P26927"	"protease"	"-0.72"	"0.49"	" (0.27-0.86)"	"6.3"	"0.012"
"P27487"	"protease"	"-0.005"	"1"	" (0.65-1.5)"	"0.00051"	"0.98"
