UNIPROT	Sample	common13
Q86YA3	1	#N/A
Q08188	1	#N/A
Q5T749	1	#N/A
Q8N3Y7	1	#N/A
Q8WVV4	1	#N/A
Q9H1E1	1	#N/A
Q9NZH8	1	#N/A
Q9UI42	1	#N/A
Q9UIV8	1	#N/A
P55774	1	#N/A
O15117	1	p
P61952	1	#N/A
Q92686	1	#N/A
Q9NVH1	1	p
P21709	1	#N/A
Q86YW5	1	#N/A
O95969	1	#N/A
P19957	1	#N/A
Q9NSB8	1	#N/A
Q8IU68	1	#N/A
O00501	1	#N/A
O15204	1	#N/A
Q6ZMI0	1	p
O94766	1	p
Q5TC63	1	#N/A
Q15742	1	#N/A
Q96J65	1	#N/A
Q8NB46	1	#N/A
O75596	1	#N/A
P38435	1	#N/A
Q58EX7	1	#N/A
Q5JSP0	1	#N/A
Q6ZW49	1	#N/A
Q96PU4	1	p
Q96RE7	1	#N/A
Q9ULR3	1	#N/A
O00519	1	#N/A
O95528	1	#N/A
O95870	1	#N/A
O96011	1	#N/A
P45452	1	#N/A
Q68CQ7	1	#N/A
Q96B49	1	#N/A
Q96JQ2	1	#N/A
Q9HBG4	1	#N/A
Q9NQX5	1	#N/A
Q9NZ45	1	p
Q9Y320	1	p
P10275	1	#N/A
Q9NP59	1	#N/A
O43422	1	#N/A
Q9H089	1	#N/A
Q9Y6A4	1	p
Q02779	1	#N/A
Q7Z7M0	1	#N/A
Q9H1K6	1	#N/A
Q9Y2C3	1	#N/A
Q9BYG5	1	p
Q9H8L6	1	p
O14686	1	#N/A
Q9H845	1	p
P05230	1	#N/A
P49863	1	#N/A
P55064	1	#N/A
Q8IY42	1	#N/A
Q9HBJ8	1	#N/A
Q9HCS5	1	#N/A
O43572	1	#N/A
P16519	1	#N/A
P49789	1	#N/A
P49848	1	#N/A
Q7Z6M1	1	#N/A
Q86Y37	1	#N/A
Q9H6Y2	1	#N/A
Q9UPR0	1	#N/A
Q9Y2U5	1	#N/A
Q9BY49	1	#N/A
Q5SXM2	1	#N/A
Q9Y3Q8	1	#N/A
P04733	1	#N/A
O60704	1	#N/A
Q6UXB2	1	#N/A
Q9NRJ3	1	#N/A
Q9BRT3	1	p
P55318	1	#N/A
Q8IWU2	1	#N/A
Q8N8U2	1	#N/A
Q8NFA0	1	#N/A
Q8TEL6	1	#N/A
Q8WU20	1	#N/A
Q96CP6	1	#N/A
Q96T49	1	#N/A
Q9H981	1	#N/A
Q9NZQ3	1	#N/A
Q9UBB5	1	p
A0PJZ3	1	#N/A
Q9NV56	1	#N/A
Q9NVX7	1	#N/A
Q9NYH9	1	#N/A
Q9NZI5	1	#N/A
Q9P1Y5	1	#N/A
Q9P1Z2	1	#N/A
A6NCS6	1	#N/A
O75063	1	#N/A
P11086	1	#N/A
Q8TAD8	1	#N/A
Q8WTS6	1	#N/A
