ENTREZ GENE ID	GENE SYMBOL	number of EXPERIMENT	Chronic lymphocytic leukemia cells	Prostate cancer cells	Colorectal cancer cells	Osteosarcoma cells	Ovarian cancer cells 	Neuroblastoma cells	Breast cancer cells	Brain cancer cells	Kidney cancer cells	Leukemia cells	Ovarian cancer cells	Glioblastoma cells	Placenta choriocarcinoma cells	Bladder cancer cells	Astrocytoma cells	Duodenal cancer cells	Lung cancer cells	Squamous carcinoma cells	Cervix carcinoma cells	Osteoblasts	Glioma cells	Nasopharyngeal carcinoma cells	Mesothelioma cells	Cholangiocarcinoma cells	Transitional carcinoma cells	Pancreatic adenocarcinoma cells	Stomach cancer cells	Hepatoma cells	Epidermoid carcinoma cells	Monocytic leukemia cells	Myeloid leukemia cells	Testicular cancer cells	Pancreatic cancer cells
10015	PDCD6IP	143	5	39	23	1	2	2	6	3	3	7	9	15	0	6	6	3	3	2	1	0	0	0	0	1	2	1	2	0	0	0	0	0	1
5315	PKM	123	4	37	26	1	2	3	5	2	2	7	8	11	1	3	6	1	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
928	CD9	122	0	40	21	0	2	1	4	4	3	3	7	11	0	6	6	0	6	3	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
2597	GAPDH	122	4	37	22	1	2	2	5	4	2	6	5	14	0	3	6	3	0	3	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
3312	HSPA8	121	4	38	21	1	2	2	6	3	0	6	7	12	1	3	6	2	2	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0
60	ACTB	118	4	36	29	1	2	2	10	2	2	0	6	8	1	3	2	4	3	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
3326	HSP90AB1	117	4	33	19	1	2	3	4	2	6	8	7	13	0	3	6	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
3320	HSP90AA1	113	4	29	23	0	2	1	3	2	7	8	8	10	1	3	6	0	0	1	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0
1938	EEF2	112	4	28	20	1	2	3	5	4	4	7	6	12	1	3	6	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2023	ENO1	112	4	36	19	1	2	3	4	1	2	5	5	14	1	3	6	1	3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
