ENTREZ GENE ID	GENE SYMBOL	UNIPROT	number of EXPERIMENT	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
10015	PDCD6IP	Q8WUM4	65	23	11	6	3	15	3	2	0	1	1
967	CD63	P08962	65	21	6	12	1	10	8	1	2	0	4
3105	HLA-A	P04439	65	20	17	7	7	2	12	0	0	0	0
60	ACTB	P60709	60	29	8	10	2	8	3	0	0	0	0
928	CD9	P21926	58	21	9	4	3	11	6	0	0	0	4
6520	SLC3A2	P08195	57	19	7	12	5	10	4	0	0	0	0
975	CD81	P60033	57	26	7	8	3	6	4	0	0	0	3
3320	HSP90AA1	P07900	56	23	10	3	7	10	0	0	0	0	3
5478	PPIA	P62937	56	19	7	4	5	15	6	0	0	0	0
5315	PKM	P14618	55	26	10	5	2	11	1	0	0	0	0
7531	YWHAE	P62258	55	23	6	6	4	11	5	0	0	0	0
5717	PSMD11	O00231	55	20	10	4	2	9	10	0	0	0	0
3326	HSP90AB1	P08238	54	19	9	4	6	13	3	0	0	0	0
1938	EEF2	P13639	54	20	8	5	4	12	5	0	0	0	0
3857	KRT9	P35527	54	22	10	5	1	14	2	0	0	0	0
2194	FASN	P49327	53	24	10	6	3	9	1	0	0	0	0
3688	ITGB1	P05556	53	20	13	5	3	7	3	2	0	0	0
3848	KRT1	P04264	52	22	7	5	0	14	4	0	0	0	0
7534	YWHAZ	P63104	52	24	9	5	4	9	1	0	0	0	0
3959	LGALS3BP	Q08380	52	20	10	5	2	13	2	0	0	0	0
7251	TSG101	Q99816	51	22	9	6	1	6	4	2	0	1	0
3945	LDHB	P07195	51	19	11	4	3	10	4	0	0	0	0
10606	PAICS	P22234	51	21	8	4	2	7	9	0	0	0	0
2597	GAPDH	P04406	50	22	7	5	2	14	0	0	0	0	0
3312	HSPA8	P11142	50	21	9	6	0	12	2	0	0	0	0
7167	TPI1	P60174	50	22	10	2	2	12	2	0	0	0	0
6950	TCP1	P17987	50	20	9	2	4	8	7	0	0	0	0
301	ANXA1	P04083	50	18	10	4	3	13	2	0	0	0	0
87	ACTN1	P12814	50	20	10	4	4	6	6	0	0	0	0
6233	RPS27A	P62979	50	22	8	5	2	9	4	0	0	0	0
2023	ENO1	P06733	49	19	7	4	2	14	3	0	0	0	0
302	ANXA2	P07355	49	25	7	6	3	7	1	0	0	0	0
5230	PGK1	P00558	49	21	7	5	2	11	3	0	0	0	0
6386	SDCBP	O00560	49	24	7	2	2	7	2	0	0	0	5
81	ACTN4	O43707	49	22	7	2	4	7	7	0	0	0	0
307	ANXA4	P09525	49	23	11	3	5	3	4	0	0	0	0
3107	HLA-C	P10321	49	22	10	5	4	0	8	0	0	0	0
3849	KRT2	P35908	48	21	11	4	3	8	1	0	0	0	0
4627	MYH9	P35579	48	21	9	3	4	9	2	0	0	0	0
2058	EPRS	P07814	48	20	9	3	1	7	8	0	0	0	0
8359	HIST1H4A	B2R4R0	47	17	8	3	2	11	6	0	0	0	0
10576	CCT2	P78371	47	24	8	4	1	10	0	0	0	0	0
5908	RAP1B	P61224	47	24	8	5	3	5	2	0	0	0	0
7532	YWHAG	P61981	47	20	8	4	3	9	2	0	0	0	1
10211	FLOT1	O75955	47	24	9	5	2	4	3	0	0	0	0
8826	IQGAP1	P46940	47	17	11	4	5	8	2	0	0	0	0
4478	MSN	P26038	47	17	9	2	4	10	5	0	0	0	0
7520	XRCC5	P13010	47	16	8	3	5	7	7	0	0	0	1
54472	TOLLIP	Q9H0E2	47	20	9	4	1	3	10	0	0	0	0
3123	HLA-DRB1	P01911	47	9	10	7	11	0	10	0	0	0	0
5339	PLEC	Q15149	47	18	8	2	3	9	3	0	0	0	4
1213	CLTC	Q00610	46	21	8	5	0	8	4	0	0	0	0
3183	HNRNPC	P07910	46	17	8	3	1	13	4	0	0	0	0
203068	TUBB	P07437	45	18	6	4	6	8	3	0	0	0	0
308	ANXA5	P08758	45	21	11	5	1	5	2	0	0	0	0
1072	CFL1	P23528	45	23	8	2	1	5	6	0	0	0	0
