Seq	ENTREZ GENE ID	GENE SYMBOL	UNIPROT	common_3250	number of EXPERIMENT	cancertype_count	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreas_total
1	3105	HLA-A	P04439	P	65	6	20	17	7	7	2	12	0	0	0
2	10015	PDCD6IP	Q8WUM4	P	65	8	23	11	6	3	15	3	2	0	2
3	975	CD81	P60033	P	57	7	26	7	8	3	6	4	0	0	3
4	3320	HSP90AA1	P07900	P	56	6	23	10	3	7	10	0	0	0	3
5	5478	PPIA	P62937	P	56	6	19	7	4	5	15	6	0	0	0
6	5315	PKM	P14618	P	55	6	26	10	5	2	11	1	0	0	0
7	5717	PSMD11	O00231	P	55	6	20	10	4	2	9	10	0	0	0
8	7531	YWHAE	P62258	P	55	6	23	6	6	4	11	5	0	0	0
9	1938	EEF2	P13639	P	54	6	20	8	5	4	12	5	0	0	0
10	3326	HSP90AB1	P08238	P	54	6	19	9	4	6	13	3	0	0	0
11	3857	KRT9	P35527	P	54	6	22	10	5	1	14	2	0	0	0
12	2194	FASN	P49327	P	53	6	24	10	6	3	9	1	0	0	0
13	3688	ITGB1	P05556	P	53	7	20	13	5	3	7	3	2	0	0
14	3848	KRT1	P04264	P	52	5	22	7	5	0	14	4	0	0	0
15	3959	LGALS3BP	Q08380	P	52	6	20	10	5	2	13	2	0	0	0
16	7534	YWHAZ	P63104	P	52	6	24	9	5	4	9	1	0	0	0
17	10606	PAICS	P22234	P	51	6	21	8	4	2	7	9	0	0	0
18	87	ACTN1	P12814	P	50	6	20	10	4	4	6	6	0	0	0
19	301	ANXA1	P04083	P	50	6	18	10	4	3	13	2	0	0	0
20	2597	GAPDH	P04406	P	50	5	22	7	5	2	14	0	0	0	0
21	3312	HSPA8	P11142	P	50	5	21	9	6	0	12	2	0	0	0
22	6233	RPS27A	P62979	P	50	6	22	8	5	2	9	4	0	0	0
23	6950	TCP1	P17987	P	50	6	20	9	2	4	8	7	0	0	0
24	7167	TPI1	P60174	P	50	6	22	10	2	2	12	2	0	0	0
25	81	ACTN4	O43707	P	49	6	22	7	2	4	7	7	0	0	0
26	302	ANXA2	P07355	P	49	6	25	7	6	3	7	1	0	0	0
27	307	ANXA4	P09525	P	49	6	23	11	3	5	3	4	0	0	0
28	2023	ENO1	P06733	P	49	6	19	7	4	2	14	3	0	0	0
29	3107	HLA-C	P10321	P	49	5	22	10	5	4	0	8	0	0	0
30	5230	PGK1	P00558	P	49	6	21	7	5	2	11	3	0	0	0
31	6386	SDCBP	O00560	P	49	7	24	7	2	2	7	2	0	0	5
32	2058	EPRS	P07814	P	48	6	20	9	3	1	7	8	0	0	0
33	4627	MYH9	P35579	P	48	6	21	9	3	4	9	2	0	0	0
34	10576	CCT2	P78371	P	47	5	24	8	4	1	10	0	0	0	0
35	10211	FLOT1	O75955	P	47	6	24	9	5	2	4	3	0	0	0
36	3123	HLA-DRB1	P01911	P	47	5	9	10	7	11	0	10	0	0	0
37	8826	IQGAP1	P46940	P	47	6	17	11	4	5	8	2	0	0	0
38	4478	MSN	P26038	P	47	6	17	9	2	4	10	5	0	0	0
39	5339	PLEC	Q15149	P	47	7	18	8	2	3	9	3	0	0	4
40	54472	TOLLIP	Q9H0E2	P	47	6	20	9	4	1	3	10	0	0	0
41	7520	XRCC5	P13010	P	47	7	16	8	3	5	7	7	0	0	1
42	7532	YWHAG	P61981	P	47	7	20	8	4	3	9	2	0	0	1
43	1213	CLTC	Q00610	P	46	5	21	8	5	0	8	4	0	0	0
44	308	ANXA5	P08758	P	45	6	21	11	5	1	5	2	0	0	0
45	1072	CFL1	P23528	P	45	6	23	8	2	1	5	6	0	0	0
46	2316	FLNA	P21333	P	45	6	18	10	2	5	8	2	0	0	0
47	5688	PSMA7	O14818	P	45	6	19	10	4	1	9	2	0	0	0
48	6136	RPL12	P30050	P	45	6	20	8	3	1	9	4	0	0	0
49	6189	RPS3A	P61247	P	45	7	18	8	3	3	3	9	0	0	1
50	7094	TLN1	Q9Y490	P	45	6	17	10	4	3	9	2	0	0	0
51	203068	TUBB	P07437	P	45	6	18	6	4	6	8	3	0	0	0
52	7317	UBA1	P22314	P	45	6	21	11	3	0	7	2	0	0	1
53	23352	UBR4	Q5T4S7	P	45	6	19	7	4	5	1	9	0	0	0
54	7529	YWHAB	P31946	P	45	6	20	9	2	4	8	2	0	0	0
55	191	AHCY	P23526	P	44	6	21	7	2	3	10	1	0	0	0
56	79026	AHNAK	Q09666	P	44	6	14	10	5	4	1	10	0	0	0
57	309	ANXA6	P08133	P	44	6	13	10	4	4	7	6	0	0	0
58	4179	CD46	P15529	P	44	5	22	10	3	5	0	4	0	0	0
59	1778	DYNC1H1	Q14204	P	44	6	15	11	3	2	10	3	0	0	0
60	51386	EIF3L	Q9Y262	P	44	6	16	5	3	6	7	7	0	0	0
61	7430	EZR	P15311	P	44	6	21	12	5	2	2	2	0	0	0
62	2771	GNAI2	P04899	P	44	6	17	10	3	4	7	3	0	0	0
63	2782	GNB1	P62873	P	44	6	20	8	2	4	4	6	0	0	0
64	4240	MFGE8	Q08431	P	44	6	17	9	4	3	7	4	0	0	0
65	5048	PAFAH1B1	P43034	P	44	5	20	7	2	5	0	10	0	0	0
66	5689	PSMB1	P20618	P	44	6	15	10	4	6	7	2	0	0	0
67	5738	PTGFRN	Q9P2B2	P	44	6	21	8	2	1	7	5	0	0	0
68	57826	RAP2C	Q9Y3L5	P	44	6	21	11	4	4	1	3	0	0	0
69	7415	VCP	P55072	P	44	6	16	7	5	4	8	4	0	0	0
70	345651	ACTBL2	Q562R1	P	43	6	19	10	3	3	1	7	0	0	0
71	148362	BROX	Q5VW32	P	43	6	21	12	3	2	1	4	0	0	0
72	1915	EEF1A1	P68104	P	43	6	20	10	2	2	8	1	0	0	0
73	2317	FLNB	O75369	P	43	6	17	10	3	3	7	3	0	0	0
74	3074	HEXB	P07686	P	43	6	11	12	2	5	6	7	0	0	0
75	3339	HSPG2	P98160	P	43	6	20	11	2	3	1	6	0	0	0
76	4869	NPM1	P06748	P	43	6	16	11	2	2	8	4	0	0	0
77	5687	PSMA6	P60900	P	43	5	19	7	4	6	7	0	0	0	0
78	51552	RAB14	P61106	P	43	6	20	10	3	4	1	5	0	0	0
79	5879	RAC1	P63000	P	43	6	17	10	5	3	4	4	0	0	0
80	2547	XRCC6	P12956	P	43	6	18	11	2	2	2	8	0	0	0
81	47	ACLY	P53396	P	42	6	19	8	3	5	6	1	0	0	0
82	476	ATP1A1	P05023	P	42	6	19	7	5	4	5	2	0	0	0
83	718	C3	P01024	P	42	6	9	7	6	4	7	9	0	0	0
84	27243	CHMP2A	O43633	P	42	6	22	7	4	2	2	5	0	0	0
85	1937	EEF1G	P26641	P	42	6	16	9	1	4	9	3	0	0	0
86	2319	FLOT2	Q14254	P	42	6	21	8	3	4	1	5	0	0	0
87	3837	KPNB1	Q14974	P	42	5	20	9	1	0	6	6	0	0	0
88	5685	PSMA4	P25789	P	42	6	19	10	2	1	6	4	0	0	0
89	9861	PSMD6	Q15008	P	42	6	18	9	4	1	7	3	0	0	0
90	7879	RAB7A	P51149	P	42	5	24	8	4	1	5	0	0	0	0
91	5898	RALA	P11233	P	42	6	20	12	2	2	3	3	0	0	0
92	6138	RPL15	P61313	P	42	6	19	11	4	4	0	3	0	0	1
93	6207	RPS13	P62277	P	42	6	20	9	3	4	1	5	0	0	0
94	6194	RPS6	P62753	P	42	6	18	11	5	3	4	1	0	0	0
95	8773	SNAP23	O00161	P	42	6	21	9	4	3	1	4	0	0	0
96	6709	SPTAN1	Q13813	P	42	6	14	9	3	5	2	9	0	0	0
97	10963	STIP1	P31948	P	42	5	18	9	3	3	0	9	0	0	0
98	6897	TARS	P26639	P	42	6	16	11	3	3	6	3	0	0	0
99	7037	TFRC	P02786	P	42	6	23	11	3	1	1	3	0	0	0
100	10971	YWHAQ	P27348	P	42	4	23	7	3	0	9	0	0	0	0
101	375790	AGRN	O00468	P	41	6	16	7	2	2	10	4	0	0	0
102	7203	CCT3	P49368	P	41	7	18	6	5	3	7	1	0	0	1
103	998	CDC42	P60953	P	41	6	22	8	4	3	1	3	0	0	0
104	51571	FAM49B	Q9NUQ9	P	41	5	19	9	3	4	0	6	0	0	0
105	2288	FKBP4	Q02790	P	41	5	16	10	4	4	0	7	0	0	0
106	2767	GNA11	P29992	P	41	6	19	9	4	4	1	4	0	0	0
107	10672	GNA13	Q14344	P	41	6	22	9	4	3	1	2	0	0	0
108	2773	GNAI3	P08754	P	41	6	18	8	4	4	3	4	0	0	0
109	2783	GNB2	P62879	P	41	6	20	8	5	1	2	5	0	0	0
110	3675	ITGA3	P26006	P	41	6	17	8	6	4	4	2	0	0	0
111	5034	P4HB	P07237	P	41	6	15	9	3	3	7	4	0	0	0
112	5216	PFN1	P07737	P	41	6	23	5	4	2	4	3	0	0	0
113	6222	RPS18	P62269	P	41	6	18	8	4	2	7	2	0	0	0
114	8407	TAGLN2	P37802	P	41	6	19	8	5	3	4	2	0	0	0
115	7171	TPM4	P67936	P	41	6	18	10	2	4	1	6	0	0	0
116	7360	UGP2	Q16851	P	41	6	17	7	4	5	6	2	0	0	0
117	7525	YES1	P07947	P	41	6	20	11	4	2	1	3	0	0	0
118	2	A2M	P01023	P	40	5	14	9	4	3	10	0	0	0	0
119	10121	ACTR1A	P61163	P	40	6	20	9	5	1	1	4	0	0	0
