Sample	cancer_type	type	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1	SERPINF2	STAG1	SUPT6H	TP53BP1	TXNDC9
MS152072QEp_Jonathan_Jarnagin_patient1_RB_pancreas_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_duct	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_tumor	pancreas	not plasma	NA	NA	NA	15404518.83	NA	NA	21534249.79	NA	NA	NA
MS152072QEp_Jonathan_Jarnagin_patient3_JD_pancreas_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	52363760.84
MS162763QEp_Jonathan_Jarnagin_21CS	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_23SS	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_27YG	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_29AD	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	7558005.063
MS162763QEp_Jonathan_Jarnagin_32AG	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_10CF_tumor_pancreas	pancreas	not plasma	NA	NA	NA	19354134.78	NA	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_11DB_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	100691809.3
MS173080QEp_Ayuko_Lyden_37IL_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_41_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	64032258.5
MS173080QEp_Ayuko_Lyden_42_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_43_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	NA	36895392.81	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_9CF_tumor_pancreas	pancreas	not plasma	NA	NA	NA	NA	35258594.25	NA	111549058.4	NA	NA	NA
MS184039QEp_Linda_Lyden_44_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_58_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_65_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_67_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	341602141	NA	NA	NA	14821694.5
MS184039QEp_Linda_Lyden_68_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_71_tumor	pancreas	not plasma	NA	NA	NA	NA	NA	9865599	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_BXPC3pacreatic_C_repeat	pancreas	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS13451QE_Bruno_Lyden_HPAF2pacreatic_A	pancreas	cell culture	NA	NA	NA	NA	NA	16634626.68	NA	NA	NA	NA
MS14837QE_Bruno_Lyden_AsPc1	pancreas	cell culture	1476409.148	NA	NA	NA	NA	42113317.5	NA	NA	NA	NA
MS14837QE_Bruno_Lyden_MiaPaca2	pancreas	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS14837QE_Bruno_Lyden_PANC1	pancreas	cell culture	NA	NA	NA	NA	NA	41889162.5	NA	NA	NA	NA
MS151726QE_Bruno_Lyden_bone_met_4	lung	not plasma	NA	NA	NA	NA	NA	960072416.6	NA	NA	NA	NA
MS162824QEp_Ayuko_Lyden_lung_cancer_bone_met_15	lung	not plasma	NA	NA	NA	23124925	NA	NA	NA	NA	NA	116211379.5
MS162824QEp_Ayuko_Lyden_lung_cancer_bone_met_16	lung	not plasma	NA	NA	NA	32166892.4	NA	21836736	11302933.5	NA	NA	19780916
MS183871QEp_Goncalo_Lyden_53_tumor	lung	not plasma	NA	NA	NA	73120722.56	48470177	NA	98705791	NA	NA	18555847.5
MS183871QEp_Goncalo_Lyden_55_tumor	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS183871QEp_Goncalo_Lyden_57_tumor	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	24752558.5	NA
MS183871QEp_Goncalo_Lyden_58_tumor	lung	not plasma	NA	NA	NA	NA	NA	218910767.3	NA	NA	NA	NA
MS183871QEp_Goncalo_Lyden_60_tumor	lung	not plasma	NA	NA	NA	18604321.5	NA	NA	61082824.38	30966356	NA	NA
MS183871QEp_Goncalo_Lyden_62_tumor	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_127_T_b	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	20127821
MS184454QEp_Goncalo_Lyden_128_T_b	lung	not plasma	NA	NA	NA	NA	NA	NA	5542090.656	NA	NA	NA
MS184454QEp_Goncalo_Lyden_130_T_c	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_131_T_b	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	44395517
MS184454QEp_Goncalo_Lyden_135_T	lung	not plasma	NA	NA	NA	NA	NA	NA	10244944.91	NA	NA	NA
MS184454QEp_Goncalo_Lyden_137_T	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS184454QEp_Goncalo_Lyden_141_T	lung	not plasma	NA	NA	NA	NA	NA	NA	12319397	NA	NA	42247337.5
MS184454QEp_Goncalo_Lyden_142_T	lung	not plasma	NA	NA	NA	NA	NA	NA	NA	NA	14321207	NA
MS13546QE_Bruno_Lyden_1118_A	lung	cell culture	NA	NA	NA	NA	NA	162046368.8	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H1650_A	lung	cell culture	NA	NA	NA	NA	NA	50096899.61	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H1975_A	lung	cell culture	NA	NA	NA	NA	NA	160426899.7	NA	NA	NA	NA
MS13546QE_Bruno_Lyden_H292_A	lung	cell culture	24707089.45	NA	5468828.281	NA	NA	84977345.68	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_A459	lung	cell culture	NA	NA	NA	NA	NA	1069931353	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_ET2B	lung	cell culture	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H2228	lung	cell culture	NA	NA	NA	NA	NA	513314078.5	NA	NA	NA	NA
MS141031QE_Bruno_Lyden_H358	lung	cell culture	NA	NA	NA	NA	NA	1122780974	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_LC_bone_met_17	lung	cell culture	NA	NA	NA	15261277.5	NA	74925322.33	NA	NA	NA	NA
MS151440QE_Bruno_Lyden_CCG9911_Wilms_tumor	kidney	cell culture	NA	NA	NA	NA	NA	1903492375	NA	NA	NA	NA
MS151510QE_Bruno_Lyden_Wilms_tumor_CLS1	kidney	cell culture	NA	NA	NA	NA	NA	3690459478	NA	NA	NA	NA
MS173515QEp_Katharine_Lyden_Renal_bone_met	kidney	cell culture	NA	NA	NA	NA	NA	79008478.5	NA	NA	NA	49861729
