Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	PKM	PSMD11	YWHAE	EEF2	HSP90AB1
MS152072QEp_Jonathan_Jarnagin_patient1_RB_pancreas_tumor	pancreas	not plasma	NA	68059471.02	38492092.99	111784480.8	198164490.9	892243681.7	5526631.109	12006307.13	48469128.69	77015504.3
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_duct	pancreas	not plasma	NA	298383203.1	97226212.75	27256150.33	254600144.6	32553954.92	NA	44925669.96	3264042.664	25962542.21
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_tumor	pancreas	not plasma	NA	335182588.2	1003198953	1560885635	2412082965	10009997901	265578888.6	70884845.79	2499628146	1496572411
MS152072QEp_Jonathan_Jarnagin_patient3_JD_pancreas_tumor	pancreas	not plasma	NA	489046714.3	NA	2132498168	2216190029	10496986412	392762231.1	171134087.1	2147226830	2215271188
MS162763QEp_Jonathan_Jarnagin_21CS	pancreas	not plasma	2300556191	4638845541	73354549.88	1729140774	4238198857	1979702532	45179767.25	2536647868	581402682.8	1729140774
MS162763QEp_Jonathan_Jarnagin_23SS	pancreas	not plasma	57367063.92	62946643.43	294108581.8	107119266.4	223764091	898510695.4	15981077.88	51946125.03	136489073	78537473.21
MS162763QEp_Jonathan_Jarnagin_27YG	pancreas	not plasma	179251049.8	53399020.8	109815824.9	196888397.9	377528358	768649549.8	5977350.25	149357186.6	132171297.1	205178782.5
MS162763QEp_Jonathan_Jarnagin_29AD	pancreas	not plasma	408066879.9	89529870.58	577093083.6	305281744.1	753144146	1902846967	22500751.42	288221375.1	256692938.8	307032267.1
MS162763QEp_Jonathan_Jarnagin_32AG	pancreas	not plasma	756011623.6	263359156.2	176789863.5	825809068.7	1456259898	939625726.3	NA	989408268.2	220883459.9	825809068.7
MS173080QEp_Ayuko_Lyden_10CF_tumor_pancreas	pancreas	not plasma	1211923872	728547420.5	599106039.4	1084095245	1949553731	4653405404	43029898.42	946420604	2167942940	1519852418
MS173080QEp_Ayuko_Lyden_11DB_tumor_pancreas	pancreas	not plasma	727884719.4	616647997.1	661369397.9	5498186530	4491121493	37135498161	929241256.6	359339605	4807463225	5498186530
MS173080QEp_Ayuko_Lyden_37IL_tumor_pancreas	pancreas	not plasma	NA	NA	NA	619584241.4	199494883.3	2981629396	44325498	2556362.688	386867704.5	538859043.3
MS173080QEp_Ayuko_Lyden_41_tumor_pancreas	pancreas	not plasma	402093709.6	530209415.8	418295683.5	6052826529	3998194195	18792281309	832711595	167572019.3	3238421791	6052826529
MS173080QEp_Ayuko_Lyden_42_tumor_pancreas	pancreas	not plasma	905693869.9	380043691.4	30715689.5	494178961.8	974274939.3	313928621	NA	1030317329	131773494.9	494178961.8
MS173080QEp_Ayuko_Lyden_43_tumor_pancreas	pancreas	not plasma	613027741.8	685667985.1	283963897.8	2395054180	2399641612	8636129337	348279486.9	273551704.6	1967508415	2395054180
MS173080QEp_Ayuko_Lyden_9CF_tumor_pancreas	pancreas	not plasma	546066226.1	941193379.7	3195377004	1175891462	3195981821	18796336575	391931025.3	599470373	3987547987	1272964850
MS184039QEp_Linda_Lyden_44_tumor	pancreas	not plasma	610046929.4	189326292.5	1347486019	364143611.7	576892675.1	681704922.4	8083544.25	371592798.3	442022556.6	354315496.3
MS184039QEp_Linda_Lyden_58_tumor	pancreas	not plasma	168887339.9	300405609.5	222543440	1543432177	550279884.7	4036198657	151358846.4	247412226.5	2894519990	1543432177
MS184039QEp_Linda_Lyden_65_tumor	pancreas	not plasma	458207699.6	190982499.1	3400591681	624239675.3	745290073.2	701715106.7	15210552.13	458625382.2	88847365.31	587565341.3
MS184039QEp_Linda_Lyden_67_tumor	pancreas	not plasma	129831698.2	277303311.8	1666269337	1995848830	3601591616	7904397340	278565381.2	258109427.5	1432257937	2011820216
MS184039QEp_Linda_Lyden_68_tumor	pancreas	not plasma	395453788.7	270137973.9	22196492.63	236664723.9	1005390481	213929467.4	NA	793865993.4	105691144.1	309699978.3
MS184039QEp_Linda_Lyden_71_tumor	pancreas	not plasma	468741274	236038703.8	879751543	266509527.3	434957172.1	1687142155	9928850	257216799.3	933417264	467432064.5
MS13451QE_Bruno_Lyden_BXPC3pacreatic_C_repeat	pancreas	cell culture	223908264.6	29652795.97	18754009.75	47714933.92	118437307.4	175762468.2	NA	174263357.3	29303035.3	66944487.71
