cancer_type	Sample	type	HLA-A	PDCD6IP	CD81	HSP90AA1	PPIA	PSMD11	YWHAE	PKM
breast	MS162321QEp_Bruno_Lyden_T4NAAIIB2	cell culture	NA	NA	NA	NA	NA	NA	NA	3913276.719
breast	MS162321QEp_Bruno_Lyden_T4NAPD	cell culture	NA	58086180.92	251034494.9	25622286.25	NA	NA	5113413.75	20005204.13
breast	MS162175QEp_Bruno_Lyden_CF4	not plasma	8289314.969	NA	NA	NA	NA	NA	NA	NA
breast	MS162321QEp_Bruno_Lyden_T4NA3D	cell culture	NA	NA	NA	544743724.3	48805153.13	NA	83342576.58	75426931.17
breast	MS162175QEp_Bruno_Lyden_CF36	not plasma	43227508.25	NA	NA	NA	NA	NA	34400915.17	NA
breast	MS141093QE_Bruno_Lyden_T4	cell culture	63645546.75	218061893.1	247494580	113191333.6	276662233	NA	214026550.2	168061787.8
breast	MS13451QE_Bruno_Lyden_831brain_A	cell culture	17962274.06	15443884.49	NA	9275535.083	44478615.4	NA	9308069.875	42335492.15
breast	MS13375_Bruno_Lyden_MCF7_bone_A	cell culture	NA	36940855.77	8823211.013	36218455.04	17798620.68	NA	45614473.5	60667492.45
breast	MS151767QE_Bruno_Lyden_Yoneda_brain_tropic_1	cell culture	NA	48055167.54	78359289.63	1274264205	646173639.9	23237142.54	376606887.7	734865371.1
breast	MS151767QE_Bruno_Lyden_MDA_parental_1	cell culture	NA	82340271.92	138375806.9	1198528706	666459980.3	20580261.04	361971446.3	402387027.8
breast	MS151767QE_Bruno_Lyden_4175_lung_tropic_1	cell culture	96182151.94	214523355.6	294191592.3	1116326610	666735568	45687176.21	380852636.3	1088114866
breast	MS13666QE_Bruno_Lyden_4180	cell culture	141669951.6	1526122613	163870147	1131699245	2030682063	48078578.29	1084764289	836163785
breast	MS152035QE_Bruno_Lyden_1833_bone_tropic_1	cell culture	61090081.67	580099688.8	3460265629	3287398264	3051984361	195093329.7	882835556.7	2405172861
breast	MS13666QE_Bruno_Lyden_4173	cell culture	193447976.1	850704112.6	870790114	2107215247	1610738889	126670359.3	1386540488	2053988998
breast	MS151641QE_Bruno_Lyden_MDANA231NABR_YONEDA	cell culture	NA	404644520.3	699003824	2996271138	2123699037	190685718.6	1233585995	2338244069
breast	MS151670QE_Bruno_Lyden_MDA_WT	cell culture	NA	363191729.2	1926317364	2753615202	2933904057	171679541.5	1113573356	1943896761
breast	MS13638QE_Bruno_Lyden_SKBrNA3	cell culture	NA	362257403.3	1567621143	1194115016	2704937314	212561211.3	591796049.8	1956355886
breast	MS151558QE_Bruno_Lyden_BC1	not plasma	NA	48293100.75	NA	353864247.9	344977990.2	29326625.5	101853984.6	373441039.9
breast	MS172982QEp_Ayuko_Lyden_MCF_10CA_1D	cell culture	44019224.27	158211766.6	31381127.13	1235513056	121374417.7	187772702.2	149076288.5	1700685922
breast	MS183912QEp_Ayuko_Lyden_BR19	not plasma	888332607.9	634294249.5	2552556456	4083250022	3914751038	245570633.3	748775992.5	12403120126
breast	MS162642QEp_Ayuko_Lyden_5667	not plasma	28209278.5	262695797.4	1060318093	2725271269	1511214910	348300685.7	355615669.6	3788468149
breast	MS151558QE_Bruno_Lyden_BC2	not plasma	610938544.4	147285393.1	1001680466	1459803782	1218933629	65313946.33	2274948311	1508437098
breast	MS162642QEp_Ayuko_Lyden_5666	not plasma	37977758.65	270743222.5	678973687.4	1053228410	1378642313	165748000.3	86207835.83	2206239687
