Sample	cancer_type	type	HLA-A	PDCD6IP	P60033	HSP90AA1	PPIA	UBAP1	UHRF2	VPS37A	WDR3	YTHDC1
MS152072QEp_Jonathan_Jarnagin_patient1_RB_pancreas_tumor	pancreas	not plasma	NA	68059471.02	38492092.99	111784480.8	198164490.9	NA	NA	NA	NA	NA
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_duct	pancreas	not plasma	NA	298383203.1	97226212.75	27256150.33	254600144.6	NA	NA	NA	NA	NA
MS152072QEp_Jonathan_Jarnagin_patient2_NS_pancreas_tumor	pancreas	not plasma	NA	335182588.2	1003198953	1560885635	2412082965	NA	NA	NA	15404518.83	NA
MS152072QEp_Jonathan_Jarnagin_patient3_JD_pancreas_tumor	pancreas	not plasma	NA	489046714.3	NA	2132498168	2216190029	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_21CS	pancreas	not plasma	2300556191	4638845541	73354549.88	1729140774	4238198857	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_23SS	pancreas	not plasma	57367063.92	62946643.43	294108581.8	107119266.4	223764091	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_27YG	pancreas	not plasma	179251049.8	53399020.8	109815824.9	196888397.9	377528358	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_29AD	pancreas	not plasma	408066879.9	89529870.58	577093083.6	305281744.1	753144146	NA	NA	NA	NA	NA
MS162763QEp_Jonathan_Jarnagin_32AG	pancreas	not plasma	756011623.6	263359156.2	176789863.5	825809068.7	1456259898	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_10CF_tumor_pancreas	pancreas	not plasma	1211923872	728547420.5	599106039.4	1084095245	1949553731	NA	NA	NA	19354134.78	NA
MS173080QEp_Ayuko_Lyden_11DB_tumor_pancreas	pancreas	not plasma	727884719.4	616647997.1	661369397.9	5498186530	4491121493	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_37IL_tumor_pancreas	pancreas	not plasma	NA	NA	NA	619584241.4	199494883.3	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_41_tumor_pancreas	pancreas	not plasma	402093709.6	530209415.8	418295683.5	6052826529	3998194195	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_42_tumor_pancreas	pancreas	not plasma	905693869.9	380043691.4	30715689.5	494178961.8	974274939.3	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_43_tumor_pancreas	pancreas	not plasma	613027741.8	685667985.1	283963897.8	2395054180	2399641612	NA	NA	NA	NA	NA
MS173080QEp_Ayuko_Lyden_9CF_tumor_pancreas	pancreas	not plasma	546066226.1	941193379.7	3195377004	1175891462	3195981821	NA	NA	NA	NA	35258594.25
MS184039QEp_Linda_Lyden_44_tumor	pancreas	not plasma	610046929.4	189326292.5	1347486019	364143611.7	576892675.1	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_58_tumor	pancreas	not plasma	168887339.9	300405609.5	222543440	1543432177	550279884.7	NA	NA	NA	NA	NA
MS184039QEp_Linda_Lyden_65_tumor	pancreas	not plasma	458207699.6	190982499.1	3400591681	624239675.3	745290073.2	NA	NA	NA	NA	NA
