UNIPROT	number of EXPERIMENT	common13
P08962	65	#N/A
Q8WUM4	65	p
Q99816	51	#N/A
P21926	58	#N/A
P60033	57	p
P05556	53	p
O00560	49	p
Q15149	47	p
P61981	47	p
P13010	47	p
P61247	45	p
P49368	41	p
P07093	39	p
P05067	39	#N/A
P62826	37	p
P11166	37	p
P46779	36	p
P00533	36	p
O75874	36	p
Q15365	35	p
P50454	35	p
P38646	34	p
P49411	33	p
P24534	32	p
P27635	27	p
P01031	18	p
P04439	65	p
P60709	60	#N/A
P08195	57	#N/A
P62937	56	p
P07900	56	p
P62258	55	p
P14618	55	p
O00231	55	p
P35527	54	p
P13639	54	p
P08238	54	p
P49327	53	p
Q08380	52	p
P63104	52	p
P22234	51	p
P07195	51	#N/A
P62979	50	p
P60174	50	p
P17987	50	p
P12814	50	p
P04083	50	p
P09525	49	p
P07355	49	p
P06733	49	p
P00558	49	p
O43707	49	p
P35908	48	#N/A
P35579	48	p
P07814	48	p
Q9H0E2	47	p
P61224	47	#N/A
P46940	47	p
P26038	47	p
O75955	47	p
P07910	46	#N/A
Q9Y490	45	p
Q5T4S7	45	p
P31946	45	p
P30050	45	p
P23528	45	p
P22314	45	p
P21333	45	p
P08758	45	p
P07437	45	p
O14818	45	p
Q9Y3L5	44	p
Q9Y262	44	p
Q9P2B2	44	p
Q14204	44	p
Q09666	44	p
Q08431	44	p
P62873	44	p
P55072	44	p
P23526	44	p
P20618	44	p
P17980	44	#N/A
P15311	44	p
P08133	44	p
P04899	44	p
Q5VW32	43	p
Q562R1	43	p
P98160	43	p
P68104	43	p
P63000	43	p
P61106	43	p
P12956	43	p
P07686	43	p
P06748	43	p
O75369	43	p
Q15008	42	p
Q14254	42	p
Q13813	42	p
P62753	42	p
P62277	42	p
P61313	42	p
P53396	42	p
P27701	42	#N/A
P26641	42	p
P26639	42	p
P25789	42	p
P11233	42	p
P05023	42	p
P02786	42	p
P01024	42	p
O43633	42	p
O00161	42	p
Q16851	41	p
Q14344	41	p
P68371	41	#N/A
P67936	41	p
P62879	41	p
P62269	41	p
P60953	41	p
P37802	41	p
P29992	41	p
P26006	41	p
P08754	41	p
P07947	41	p
P07737	41	p
P07237	41	p
O00468	41	p
Q9NZM1	40	p
Q15758	40	p
P84077	40	#N/A
P62834	40	p
P61163	40	p
P53618	40	p
P43686	40	p
P40227	40	p
P30101	40	p
P20340	40	p
P18206	40	p
P18124	40	p
P14923	40	p
P11216	40	p
P11047	40	p
P11021	40	p
O43491	40	p
O43242	40	p
O00299	40	p
Q96CW1	39	#N/A
Q15907	39	p
Q13492	39	p
Q08211	39	p
Q06830	39	p
P55786	39	#N/A
P50395	39	p
P49720	39	p
P39023	39	p
P35998	39	p
P35222	39	#N/A
P26373	39	p
P25786	39	p
P08708	39	p
P02545	39	p
O60716	39	#N/A
Q9Y265	38	p
Q9P2J5	38	p
Q9P265	38	p
Q9H9H4	38	p
Q86VP6	38	p
Q15019	38	p
Q13509	38	p
Q13200	38	p
Q04917	38	p
P78527	38	p
P63261	38	#N/A
P62195	38	p
P61225	38	p
P61019	38	p
P52565	38	p
P35613	38	p
P29317	38	#N/A
P19338	38	p
P12081	38	p
P06396	38	p
P05026	38	p
P02751	38	p
O14672	38	p
Q9Y4L1	37	#N/A
Q92820	37	p
Q7L576	37	p
P62888	37	p
P62249	37	p
P55884	37	p
P51148	37	p
P46778	37	p
P34932	37	p
P10909	37	p
P09874	37	p
P07942	37	p
O75367	37	p
Q9H223	36	p
Q7KZF4	36	p
P63096	36	p
P61586	36	p
P59998	36	p
P54136	36	p
P46781	36	p
P41252	36	p
P31689	36	p
P25787	36	p
P07339	36	#N/A
O60701	36	p
O00391	36	p
Q9H444	35	p
Q99715	35	#N/A
Q99613	35	#N/A
Q15582	35	p
Q15286	35	p
P62701	35	p
P62241	35	p
P61254	35	p
P60981	35	p
P54709	35	p
P48643	35	p
P35221	35	p
P29401	35	p
P23284	35	p
P19823	35	p
P06756	35	p
P06744	35	p
P05388	35	p
P04792	35	p
O60568	35	p
Q9C0H2	34	#N/A
Q16629	34	p
Q05639	34	p
Q01813	34	p
Q01650	34	#N/A
Q00839	34	p
P62913	34	p
P61158	34	p
P49189	34	p
P36543	34	p
P16403	34	p
P10599	34	p
P09543	34	p
P07602	34	p
P05387	34	p
P05141	34	p
P04040	34	p
O43175	34	#N/A
O00186	34	p
Q9NZZ3	33	p
Q99460	33	p
Q92597	33	p
Q6YHK3	33	p
Q07955	33	p
P62906	33	p
P62750	33	p
P53621	33	p
P51153	33	p
P50995	33	p
P35241	33	p
P32969	33	p
P30041	33	p
P29692	33	#N/A
P28070	33	p
P20073	33	p
P18669	33	p
P14625	33	p
P14174	33	p
P13667	33	p
P08865	33	#N/A
P06737	33	p
P06576	33	p
O60506	33	p
O00154	33	p
Q6P2Q9	32	p
Q16181	32	p
P83731	32	#N/A
P62244	32	p
P55209	32	#N/A
P50990	32	p
P49419	32	p
P45880	32	#N/A
P39019	32	p
P38919	32	p
P30626	32	#N/A
P28062	32	p
