Gene,EntrezID,Gene description,Concentration,Concentration(ng/L)
CP,1356,Ceruloplasmin,440 mg/L,440000000
IGHG2,3501,Immunoglobulin heavy constant gamma 2 (G2m marker),250 mg/L,250000000
GSN,2934,Gelsolin,240 mg/L,240000000
IGHG1,3500,Immunoglobulin heavy constant gamma 1 (G1m marker),230 mg/L,230000000
RBP4,5950,Retinol binding protein 4,210 mg/L,210000000
C3,718,Complement C3,200 mg/L,200000000
HPX,3263,Hemopexin,190 mg/L,190000000
A2M,2,Alpha-2-macroglobulin,170 mg/L,170000000
IGHG4,3503,Immunoglobulin heavy constant gamma 4 (G4m marker),170 mg/L,170000000
FGA,2243,Fibrinogen alpha chain,140 mg/L,140000000
SERPINA1,5265,Serpin family A member 1,140 mg/L,140000000
IGHA1,3493,Immunoglobulin heavy constant alpha 1,130 mg/L,130000000
SERPINC1,462,Serpin family C member 1,120 mg/L,120000000
C4B,721,Complement C4B (Chido blood group),120 mg/L,120000000
CFB,629,Complement factor B,120 mg/L,120000000
C4A,720,Complement C4A (Rodgers blood group),120 mg/L,120000000
APOA1,335,Apolipoprotein A1,110 mg/L,110000000
AHSG,197,Alpha 2-HS glycoprotein,110 mg/L,110000000
FGB,2244,Fibrinogen beta chain,110 mg/L,110000000
IGHM,3507,Immunoglobulin heavy constant mu,110 mg/L,110000000
CFH,3075,Complement factor H,100 mg/L,100000000
APOB,338,Apolipoprotein B,100 mg/L,100000000
PRSS1,5644,Serine protease 1,100 mg/L,100000000
HP,3240,Haptoglobin,100 mg/L,100000000
TTR,7276,Transthyretin,99 mg/L,99000000
TF,7018,Transferrin,98 mg/L,98000000
SERPINA3,12,Serpin family A member 3,94 mg/L,94000000
APOA2,336,Apolipoprotein A2,92 mg/L,92000000
APOD,347,Apolipoprotein D,90 mg/L,90000000
PGLYRP2,114770,Peptidoglycan recognition protein 2,87 mg/L,87000000
APOA4,337,Apolipoprotein A4,74 mg/L,74000000
AZGP1,563,"Alpha-2-glycoprotein 1, zinc-binding",74 mg/L,74000000
GC,2638,GC vitamin D binding protein,73 mg/L,73000000
FGG,2266,Fibrinogen gamma chain,73 mg/L,73000000
IGHA2,3494,Immunoglobulin heavy constant alpha 2 (A2m marker),67 mg/L,67000000
AGT,183,Angiotensinogen,65 mg/L,65000000
C9,735,Complement C9,64 mg/L,64000000
SERPINF2,5345,Serpin family F member 2,61 mg/L,61000000
ORM1,5004,Orosomucoid 1,61 mg/L,61000000
ITIH1,3697,Inter-alpha-trypsin inhibitor heavy chain 1,59 mg/L,59000000
ITIH4,3700,Inter-alpha-trypsin inhibitor heavy chain 4,58 mg/L,58000000
HPR,3250,Haptoglobin-related protein,55 mg/L,55000000
IGLL5,100423062,Immunoglobulin lambda like polypeptide 5,53 mg/L,53000000
A1BG,1,Alpha-1-B glycoprotein,51 mg/L,51000000
SERPIND1,3053,Serpin family D member 1,50 mg/L,50000000
IGHV3-48,28424,Immunoglobulin heavy variable 3-48,49 mg/L,49000000
APOC2,344,Apolipoprotein C2,49 mg/L,49000000
C7,730,Complement C7,48 mg/L,48000000
IGLL1,3543,Immunoglobulin lambda like polypeptide 1,48 mg/L,48000000
AMBP,259,Alpha-1-microglobulin/bikunin precursor,47 mg/L,47000000
KNG1,3827,Kininogen 1,47 mg/L,47000000
FN1,2335,Fibronectin 1,47 mg/L,47000000
APOC3,345,Apolipoprotein C3,45 mg/L,45000000
PLG,5340,Plasminogen,45 mg/L,45000000
SERPINF1,5176,Serpin family F member 1,44 mg/L,44000000
LRG1,116844,Leucine rich alpha-2-glycoprotein 1,42 mg/L,42000000
IGHV3-23,28442,Immunoglobulin heavy variable 3-23,42 mg/L,42000000
APOH,350,Apolipoprotein H,41 mg/L,41000000
F2,2147,"Coagulation factor II, thrombin",41 mg/L,41000000
ORM2,5005,Orosomucoid 2,41 mg/L,41000000
C5,727,Complement C5,39 mg/L,39000000
APCS,325,"Amyloid P component, serum",39 mg/L,39000000
IGHV3-7,28452,Immunoglobulin heavy variable 3-7,39 mg/L,39000000
SERPINA6,866,Serpin family A member 6,37 mg/L,37000000
IGHV3-21,28444,Immunoglobulin heavy variable 3-21,37 mg/L,37000000
KRT1,3848,Keratin 1,35 mg/L,35000000
C2,717,Complement C2,34 mg/L,34000000
VTN,7448,Vitronectin,33 mg/L,33000000
SAA4,6291,"Serum amyloid A4, constitutive",33 mg/L,33000000
IGHV3-13,28449,Immunoglobulin heavy variable 3-13,33 mg/L,33000000
ITIH2,3698,Inter-alpha-trypsin inhibitor heavy chain 2,32 mg/L,32000000
CLU,1191,Clusterin,29 mg/L,29000000
APOE,348,Apolipoprotein E,29 mg/L,29000000
LUM,4060,Lumican,29 mg/L,29000000
HRG,3273,Histidine rich glycoprotein,28 mg/L,28000000
C4BPA,722,Complement component 4 binding protein alpha,28 mg/L,28000000
SERPING1,710,Serpin family G member 1,28 mg/L,28000000
ATRN,8455,Attractin,27 mg/L,27000000
IGHV3-74,28408,Immunoglobulin heavy variable 3-74,27 mg/L,27000000
IGFALS,3483,Insulin like growth factor binding protein acid labile subunit,26 mg/L,26000000
SERPINA7,6906,Serpin family A member 7,25 mg/L,25000000
CLEC3B,7123,C-type lectin domain family 3 member B,25 mg/L,25000000
CPN2,1370,Carboxypeptidase N subunit 2,25 mg/L,25000000
KRT9,3857,Keratin 9,24 mg/L,24000000
FBLN1,2192,Fibulin 1,21 mg/L,21000000
IGHV3-15,28448,Immunoglobulin heavy variable 3-15,20 mg/L,20000000
