Gene,EntrezID,UNIPROT,Concentration(ng/L),number of EXPERIMENT,Median
IGKV3-7,28915,A0A075B6H7,850000,NA,161180920
IGKV1D-42,28892,A0A075B6H8,41000,NA,NA
IGLV4-69,28784,A0A075B6H9,320000,NA,NA
IGLV8-61,28774,A0A075B6I0,620000,NA,108268159.8
IGLV4-60,28785,A0A075B6I1,120000,NA,NA
IGLV10-54,28772,A0A075B6I4,54000,NA,6405723.938
IGLV7-46,28775,A0A075B6I9,270000,NA,206610525
IGLV5-37,28783,A0A075B6J1,14000,NA,NA
IGLV3-22,28795,A0A075B6J6,1100000,NA,NA
IGLV2-18,28814,A0A075B6J9,570000,NA,147189532
IGLV3-16,28799,A0A075B6K0,350000,NA,109600751.9
IGLV3-12,28802,A0A075B6K2,850000,NA,NA
IGLV3-10,28803,A0A075B6K4,2000000,NA,128459244.5
IGLV3-9,28804,A0A075B6K5,1500000,NA,12927363
IGLV4-3,28786,A0A075B6K6,1600,NA,NA
IGHV3-64,28414,A0A075B6Q5,4300000,NA,190452512
IGHV4-4,28401,A0A075B6R2,3800000,NA,32539783.75
IGKV2D-29,28882,A0A075B6S2,1500000,NA,NA
IGKV1D-17,28900,A0A075B6S4,1000000,NA,NA
IGKV1-27,28935,A0A075B6S5,8300000,NA,97548731.19
IGLV5-45,28781,A0A087WSX0,160000,NA,NA
IGKV3D-15,28875,A0A087WSY6,4800000,NA,129753053
IGKV1D-8,28904,A0A087WSZ0,1900000,NA,NA
IGKV2D-26,28884,A0A0A0MRZ7,1000000,NA,NA
IGKV3D-11,28876,A0A0A0MRZ8,6700000,NA,NA
IGLV5-52,28779,A0A0A0MRZ9,1200,NA,NA
IGHV1-45,28466,A0A0A0MS14,380000,NA,NA
IGHV3-49,28423,A0A0A0MS15,1600000,NA,159127885.3
IGLV1-36,28826,A0A0B4J1U3,980000,NA,NA
IGHV6-1,28385,A0A0B4J1U7,930000,NA,212912281
IGHV3-15,28448,A0A0B4J1V0,20000000,NA,202649459.6
IGHV3-21,28444,A0A0B4J1V1,37000000,NA,187062473.8
IGHV2-26,28455,A0A0B4J1V2,190000,NA,196953349.8
IGHV3-73,28409,A0A0B4J1V6,3200000,NA,183672435.5
IGHV7-81,28378,A0A0B4J1V7,270000,NA,NA
IGHV3-74,28408,A0A0B4J1X5,27000000,NA,170870354
IGHV3-43,28426,A0A0B4J1X8,4000000,NA,190939439
IGLV9-49,28773,A0A0B4J1Y8,43000,NA,NA
IGHV3-72,28410,A0A0B4J1Y9,9600000,NA,NA
IGKV1D-43,28891,A0A0B4J1Z2,380000,NA,NA
IGKV1D-13,28902,A0A0B4J2D9,370000,NA,33662650.44
IGHV1-69D,102723169,A0A0B4J2H0,1200000,NA,109334449.8
IGKV6-21,28906,A0A0C4DH24,250000,NA,154965650.9
IGKV3D-20,28874,A0A0C4DH25,11000000,NA,122684861.5
IGKV6D-41,28869,A0A0C4DH26,32000,NA,NA
IGHV1-3,28473,A0A0C4DH29,2600000,NA,143837194
IGHV3-16,28447,A0A0C4DH30,3200000,NA,NA
IGHV1-18,28468,A0A0C4DH31,4700000,NA,185955138
IGHV3-20,28445,A0A0C4DH32,2200000,NA,315452367
IGHV1-24,28467,A0A0C4DH33,3100000,NA,329132776
IGHV4-28,28400,A0A0C4DH34,2500000,NA,75301527.73
IGHV3-35,28432,A0A0C4DH35,19000000,NA,190358309.5
IGHV3-38,28429,A0A0C4DH36,2900000,NA,183672435.5
IGHV5-51,28388,A0A0C4DH38,2700000,NA,136491784.3
IGHV1-58,28464,A0A0C4DH39,120000,NA,NA
IGHV4-61,28391,A0A0C4DH41,4400000,NA,NA
IGHV3-66,28412,A0A0C4DH42,7200000,NA,NA
IGHV2-70D,102723168,A0A0C4DH43,110000,NA,109824976.1
IGKV3D-7,28877,A0A0C4DH55,3700000,NA,NA
IGKV1-8,28942,A0A0C4DH67,6100000,NA,207773223.8
IGKV2-24,28923,A0A0C4DH68,840000,1,866988981.3
IGKV1-9,28941,A0A0C4DH69,4500000,NA,NA
IGKV1-6,28943,A0A0C4DH72,12000000,NA,87531972
IGKV1-12,28940,A0A0C4DH73,13000000,NA,73548484
IGHV1-69-2,28458,A0A0G2JMI3,1100000,NA,NA
IGHV7-4-1,57289,A0A0J9YVY3,560000,NA,84159705.38
IGHV3-64D,102723170,A0A0J9YX35,2500000,NA,183672435.5
IGHV5-10-1,28386,A0A0J9YXX1,1200000,NA,159657188
C3orf85,401081,A0A1B0GTC6,2900,NA,NA
UBA6,55236,A0AVT1,12,34,104294762.7
ESYT2,57488,A0FGR8,24,14,NA
SSC5D,284297,A1L4H1,88000,11,46807061.25
FUOM,282969,A2VDF0,2000,9,NA
POTEF,728378,A5A3E0,1900000,17,11629930090
ASPDH,554235,A6ND91,200,NA,NA
PGP,283871,A6NDG6,250,15,34057357
TRABD2B,388630,A6NFA1,41,NA,NA
IGLON5,402665,A6NGN9,15,NA,NA
GLTPD2,388323,A6NH11,150,NA,NA
LILRA5,353514,A6NI73,670,NA,NA
TTC36,143941,A6NLP5,100,NA,NA
COL6A6,131873,A6NMZ7,700,NA,24122097
A2ML1,144568,A8K2U0,10000,13,3903353.24
CLCA1,1179,A8K7I4,77,NA,142794499.8
KRTAP9-7,100505724,A8MTY7,2900,NA,NA
HEPACAM2,253012,A8MVW5,210,NA,NA
ISM1,140862,B1AKI9,17,NA,NA
SMIM1,388588,B2RUZ4,340,12,NA
IGLL5,100423062,B9A064,53000000,11,617593162.9
CCER2,643669,I3L3R5,8.8,NA,NA
