symbol	Entrez	UNIPROT	3250_overlap	Concentration(ng/L)	EV_number of experiment	EV_quantity_Median
P3H1	64175	Q32P28	P	18	25	10515472.75
PLOD2	5352	O00469	P	21	18	21942040.66
UXS1	80146	Q8NBZ7	P	24	22	103704089.1
PPP1R14B	26472	Q96C90	P	190	19	17899270.47
CBFB	865	Q13951	P	18	23	30578183.91
CDK1	983	P06493	P	51	36	94551394.79
PSME3	10197	P61289	P	460	22	40899840.38
PPIC	5480	P45877	P	3700	9	44519395.38
CASP3	836	P42574	P	94	18	97360923.38
BID	637	P55957	P	800	11	16675613.94
RSL1D1	26156	O76021	P	18	24	42123300
FEN1	2237	P39748	P	160	33	108347152
SMC2	10592	O95347	P	26	27	16870800.5
P4HA1	5033	P13674	P	60	17	43469045.03
KPNA2	3838	P52292	P	160	33	23008166.69
NUP205	23165	Q92621	P	24	13	22299564.1
PLOD1	5351	Q02809	P	3600	26	33071864.29
MMP14	4323	P50281	P	1400	21	38049335.25
HEATR1	55127	Q9H583	P	470	12	20147085.25
DCTPP1	79077	Q9H773	P	61	14	9913530.688
DDX21	9188	Q9NR30	P	40	23	99359979.33
ADAM9	8754	Q13443	P	740	24	19089250.99
P4HA2	8974	O15460	P	13	14	35418225.13
JPT1	51155	Q9UK76	P	40	16	56760749.75
LSM1	27257	O15116	P	22	12	19416589
TSR1	55720	Q2NL82	P	13	13	20871090.59
ADPGK	83440	Q9BRR6	P	66	12	14803165.39
FKBP10	60681	Q96AY3	P	110	15	28481957.83
UMPS	7372	P11172	P	9.2	29	49284355.35
PRKDC	5591	P78527	P	250	38	189877017.2
BZW1	9689	Q7L1Q6	P	34	29	97707470.56
GALNT1	2589	Q10472	P	2600	11	34528752.08
NCBP1	4686	Q09161	P	25	17	73681050.15
SRPRB	58477	Q9Y5M8	P	12	18	17928865.75
ADAM17	6868	P78536	P	300	21	21872414.56
RASA3	22821	Q14644	P	1400	12	27861439.25
MAN1B1	11253	Q9UKM7	P	940	11	13383659.06
PTPN12	5782	Q05209	P	770	12	23124036.84
TMED9	54732	Q9BVK6	P	36	19	64598697.07
DDX18	8886	Q9NVP1	P	17	18	36217141.69
NUP155	9631	O75694	P	28	11	19503957.5
MEMO1	7795	Q9Y316	NA	9.1	NA	60441200.35
FHL2	2274	Q14192	P	14	11	58720966.04
PPM1G	5496	O15355	P	19	19	65764499.38
SERPINH1	871	P50454	P	920	35	92861787.09
PRPF8	10594	Q6P2Q9	P	120	32	91038611.92
NSUN2	54888	Q08J23	P	110	19	75766201.88
ACBD3	64746	Q9H3P7	P	29	21	65075485.67
MCM6	4175	Q14566	P	33	20	37890400.67
ALDH18A1	5832	P54886	P	48	16	10486786.5
LUC7L2	51631	Q9Y383	P	28	25	19344998.31
MINPP1	9562	Q9UNW1	P	370000	10	3204161.438
MCM7	4176	P33993	P	150	29	44846054.72
UBQLN1	29979	Q9UMX0	P	200	15	10394098.88
PPP6R1	22870	Q9UPN7	P	19	12	33623780
NOC2L	26155	Q9Y3T9	P	310	11	17470079.25
DDX39A	10212	O00148	P	200	16	250049225
ITFG1	81533	Q8TB96	P	28	8	31971099.75
RANBP2	5903	P49792	P	160	16	33646519
MCM2	4171	P49736	P	120	21	92176537.49
TNPO1	3842	Q92973	P	130	34	78826273.58
MYO1E	4643	Q12965	P	13	27	37071259.48
MARCKSL1	65108	P49006	P	170	31	57066967.66
CORO7	79585	P57737	P	50	14	76517863.25
COLGALT1	79709	Q8NBJ5	P	9.7	20	21004517.58
SPARC	6678	P09486	P	130000	17	54859804
BCLAF1	9774	Q9NYF8	P	21	10	92036345.75
GNL3	26354	Q9BVP2	P	13	15	19611156.25
