EntrezID	Gene	UNIPROT	common_p	Concentration	Ayuko_Ev_q
1356	CP	P00450	P	440000000	216084675
3501	IGHG2	P01859	P	250000000	438715317.7
2934	GSN	P06396	P	240000000	546928404.8
718	C3	P01024	P	200000000	434625587.2
3263	HPX	P02790	P	190000000	101247092.9
3503	IGHG4	P01861	P	170000000	443685734.8
2	A2M	P01023	P	170000000	3217789919
2243	FGA	P02671	P	140000000	1602474420
5265	SERPINA1	P01009	P	140000000	221507347.5
3493	IGHA1	P01876	P	130000000	973746076.2
721	C4B	P0C0L4	P	120000000	168531418.5
720	C4A	P0C0L4	P	120000000	168531418.5
462	SERPINC1	P01008	P	120000000	292648972.4
197	AHSG	P02765	P	110000000	169225353.7
2244	FGB	P02675	P	110000000	1317980547
335	APOA1	P02647	P	110000000	593183247.1
3507	IGHM	P01871	P	110000000	2729778819
3075	CFH	P08603	P	100000000	57948261.38
338	APOB	P04114	P	100000000	62823086.08
3240	HP	P00738	P	100000000	272488468.6
7018	TF	P02787	P	98000000	187267797.7
12	SERPINA3	P01011	P	94000000	105513700.8
347	APOD	P05090	P	90000000	127968631
563	AZGP1	P25311	P	74000000	86503713.5
2638	GC	P02774	P	73000000	184814539.5
2266	FGG	P02679	P	73000000	591659556.8
183	AGT	P01019	P	65000000	29405236.97
735	C9	P02748	P	64000000	515903094.4
5345	SERPINF2	P08697	P	61000000	341602141
3697	ITIH1	P19827	P	59000000	386475503.8
3700	ITIH4	Q14624	P	58000000	131384824.1
3250	HPR	P00739	P	55000000	276671067.6
3053	SERPIND1	P05546	P	50000000	218731436
730	C7	P10643	P	48000000	227890026.7
259	AMBP	P02760	P	47000000	32780939
2335	FN1	P02751	P	47000000	832501070.9
345	APOC3	P02656	P	45000000	93443301.88
5340	PLG	P00747	P	45000000	405451706.4
5176	SERPINF1	P36955	P	44000000	368947968.3
2147	F2	P00734	P	41000000	622625656
727	C5	P01031	P	39000000	199678522.8
866	SERPINA6	P08185	P	37000000	63097138.03
3848	KRT1	P04264	P	35000000	325367861.3
7448	VTN	P04004	P	33000000	1498750141
3698	ITIH2	P19823	P	32000000	673794904.7
4060	LUM	P51884	P	29000000	298825191.7
1191	CLU	P10909	P	29000000	416141826.4
348	APOE	P02649	P	29000000	442398586.3
3273	HRG	P04196	P	28000000	54542261.85
722	C4BPA	P04003	P	28000000	211921588.1
8455	ATRN	O75882	P	27000000	62581121.44
3483	IGFALS	P35858	P	26000000	220715741.8
6906	SERPINA7	P05543	P	25000000	382188038.6
3857	KRT9	P35527	P	24000000	135416150
2192	FBLN1	P23142	P	21000000	362912070.8
28912	IGKV3-20	P01619	P	20000000	167962327.3
3040	HBA2	P69905	P	14000000	25455835446
3039	HBA1	P69905	P	14000000	25455835446
5267	SERPINA4	P29622	P	14000000	16296785.97
