EntrezID	Gene	UNIPROT	Core GESP Score 	Final GESP Score 	Vesiclepedia_number of EXPERIMENT	Ayuko_Median
1956	EGFR	P00533	15	25.5	36	39747546.17
6520	SLC3A2	P08195	14	25	57	NA
6510	SLC1A5	Q15758	14	24.5	40	152562846.5
960	CD44	P16070	15	24	35	156613762.8
3688	ITGB1	P05556	15	23.5	53	376782412
6513	SLC2A1	P11166	14	23.5	37	103940664.9
5817	PVR	P15151	15	23.5	22	NA
23516	SLC39A14	Q15043	15	23.5	22	76422493.25
5420	PODXL	O00592	14	22.5	28	55626076.63
102	ADAM10	O14672	14	22.5	38	74151057
4684	NCAM1	P13591	14	22.5	23	38646477.5
1000	CDH2	P19022	15	22.5	19	20500912.25
483	ATP1B3	P54709	14	22.5	35	80224181.19
1947	EFNB1	P98172	14	22.5	25	60040294.74
1829	DSG2	Q14126	15	22.5	33	37308573.13
5819	PVRL2	Q92692	14	22.5	31	13496376.81
976	ADGRE5	P48960	13	22	27	30079017.77
3690	ITGB3	P05106	13	21.5	21	46426768.8
3689	ITGB2	P05107	15	21.5	8	NA
3383	ICAM1	P05362	13	21.5	33	97475995.79
6548	SLC9A1	P19634	15	21.5	17	106518801.2
4907	NT5E	P21589	14	21.5	30	121771561
358	AQP1	P29972	15	21.5	NA	NA
682	BSG	P35613	13	21.5	38	147908728.8
4162	MCAM	P43121	13	21.5	28	27486941.61
975	CD81	P60033	10	21.5	57	670171542.6
23385	NCSTN	Q92542	12	21.5	24	16418164.5
57192	MCOLN1	Q9GZU1	15	21.5	2	NA
50848	F11R	Q9Y624	13	21.5	33	55933855.92
23266	ADGRL2	O95490	13	21	14	NA
4233	MET	P08581	14	21	24	27486534.63
490	ATP2B1	P20020	10	21	31	42651027.73
355	FAS	P25445	14	21	26	17416653.31
9019	MPZL1	O95297	12	20.5	26	62402986
920	CD4	P01730	15	20.5	13	29486556
5621	PRNP	P04156	11	20.5	23	NA
2064	ERBB2	P04626	15	20.5	28	139375820.6
3643	INSR	P06213	13	20.5	23	15361009.31
3480	IGF1R	P08069	13	20.5	14	NA
290	ANPEP	P15144	15	20.5	26	150535202.3
3693	ITGB5	P18084	14	20.5	28	37954064.07
1969	EPHA2	P29317	13	20.5	38	77207136.25
3897	L1CAM	P32004	15	20.5	29	25571467.8
7048	TGFBR2	P37173	15	20.5	7	36928391.7
1889	ECE1	P42892	12	20.5	18	31955818.38
961	CD47	Q08722	13	20.5	25	213233772.9
684	BST2	Q10589	13	20.5	10	77347628
214	ALCAM	Q13740	12	20.5	28	22384525.25
1605	DAG1	Q14118	12	20.5	23	17317690.17
10507	SEMA4D	Q92854	13	20.5	18	NA
4756	NEO1	Q92859	14	20.5	6	32867017
6272	SORT1	Q99523	13	20.5	16	65926558.64
80727	TTYH3	Q9C0H2	13	20.5	34	35857903.54
26509	MYOF	Q9NZM1	14	20.5	40	118264250.3
9497	SLC4A7	Q9Y6M7	12	20.5	19	NA
23654	PLXNB2	O15031	12	20	32	54281954.25
8910	SGCE	O43556	15	20	11	NA
23705	CADM1	Q9BY67	14	20	11	NA
3556	IL1RAP	Q9NPH3	12	20	23	19575464
19	ABCA1	O95477	9	19.5	17	32831139.94
7070	THY1	P04216	13	19.5	19	NA
481	ATP1B1	P05026	12	19.5	38	142391015.5
3685	ITGAV	P06756	11	19.5	35	87549600.23
4072	EPCAM	P16422	14	19.5	41	154201763.7
2065	ERBB3	P21860	15	19.5	12	49589103.75
5167	ENPP1	P22413	13	19.5	16	36380744
3675	ITGA3	P26006	12	19.5	41	202658035.2
4363	ABCC1	P33527	13	19.5	33	28885993.74
1948	EFNB2	P52799	13	19.5	16	NA
8140	SLC7A5	Q01650	12	19.5	34	69563975
4035	LRP1	Q07954	12	19.5	31	104062825
5795	PTPRJ	Q12913	12	19.5	26	32103096.54
5802	PTPRS	Q13332	14	19.5	21	28631355.29
25800	SLC39A6	Q13433	13	19.5	21	24003831.44
6856	SYPL1	Q16563	11	19.5	26	40764836.13
196527	ANO6	Q4KMQ2	14	19.5	21	24367404.71
11120	BTN2A1	Q7KYR7	13	19.5	19	12251645.55
24145	PANX1	Q96RD7	14	19.5	21	9504791.122
65010	SLC26A6	Q9BXS9	13	19.5	13	NA
4012	LNPEP	Q9UIQ6	11	19.5	26	21478262.88
57181	SLC39A10	Q9ULF5	12	19.5	19	17157417.88
27020	NPTN	Q9Y639	12	19.5	30	NA
8482	SEMA7A	O75326	12	19	1	32995519.34
3949	LDLR	P01130	11	19	25	59931882
2260	FGFR1	P11362	13	19	2	NA
4851	NOTCH1	P46531	11	19	36	10862818.56
5796	PTPRK	Q15262	14	19	22	24493026.45
9620	CELSR1	Q9NYQ6	13	19	13	25524453
6091	ROBO1	Q9Y6N7	13	19	11	NA
10326	SIRPB1	O00241	12	18.5	NA	48383398.5
8829	NRP1	O14786	12	18.5	29	43158230.28
8828	NRP2	O60462	12	18.5	13	46261033.42
23308	ICOSLG	O75144	13	18.5	NA	84260184.5
3105	HLA-A	P04439	11	18.5	65	183161992.2
476	ATP1A1	P05023	10	18.5	42	478153399.7
351	APP	P05067	8	18.5	39	NA
5979	RET	P07949	15	18.5	NA	NA
3678	ITGA5	P08648	10	18.5	24	35902906.33
5159	PDGFRB	P09619	13	18.5	9	152584224.6
3916	LAMP1	P11279	10	18.5	34	174016804.7
999	CDH1	P12830	15	18.5	26	97165579.5
3676	ITGA4	P13612	13	18.5	11	20262082.25
966	CD59	P13987	11	18.5	33	NA
1438	CSF2RA	P15509	13	18.5	20	NA
5175	PECAM1	P16284	12	18.5	10	36695303.69
3673	ITGA2	P17301	11	18.5	34	117643467.3
2022	ENG	P17813	11	18.5	15	40168135.88
3655	ITGA6	P23229	11	18.5	38	81171430.94
1803	DPP4	P27487	12	18.5	30	41482563
5797	PTPRM	P28827	13	18.5	17	NA
952	CD38	P28907	13	18.5	9	29666369.57
2048	EPHB2	P29323	12	18.5	32	70119380.75
6541	SLC7A1	P30825	11	18.5	25	15076480.95
6533	SLC6A6	P31641	15	18.5	8	49936186.41
3572	IL6ST	P40189	14	18.5	14	26719450
6566	SLC16A1	P53985	10	18.5	35	124891941.8
1002	CDH4	P55283	15	18.5	1	NA
1004	CDH6	P55285	13	18.5	14	36549879.5
3672	ITGA1	P56199	11	18.5	34	67810295.02
58494	JAM2	P57087	14	18.5	2	NA
4853	NOTCH2	Q04721	12	18.5	31	26032633.75
5311	PKD2	Q13563	12	18.5	NA	NA
6786	STIM1	Q13586	13	18.5	9	11313973.31
7162	TPBG	Q13641	11	18.5	21	24302086.08
3903	LAIR1	Q6GTX8	13	18.5	13	NA
26504	CNNM4	Q6P4Q7	11	18.5	17	35579483.78
1464	CSPG4	Q6UVK1	13	18.5	23	49491104.25
57153	SLC44A2	Q8IWA5	12	18.5	30	38830195.78
949	SCARB1	Q8WTV0	11	18.5	39	42222498.05
113235	SLC46A1	Q96NT5	14	18.5	17	NA
131566	DCBLD2	Q96PD2	13	18.5	25	25937958.69
83700	JAM3	Q9BX67	12	18.5	13	7749799.531
57142	RTN4	Q9NQC3	10	18.5	29	102769196.6
55754	TMEM30A	Q9NV96	11	18.5	25	18903069.5
56241	SUSD2	Q9UGT4	13	18.5	18	94278175.88
5361	PLXNA1	Q9UIW2	12	18.5	29	21808595.15
5098	PCDHGC3	Q9UN70	14	18.5	15	46891775.75
10544	PROCR	Q9UNN8	10	18.5	15	4100607
23545	ATP6V0A2	Q9Y487	13	18.5	13	9153926.688
51393	TRPV2	Q9Y5S1	13	18.5	16	10076389.44
8611	PPAP2A	O14494	13	18	14	34470676.38
5364	PLXNB1	O43157	13	18	19	28413545.66
5099	PCDH7	O60245	13	18	NA	NA
3106	HLA-B	P01889	10	18	32	218556494.3
154	ADRB2	P07550	13	18	19	NA
5788	PTPRC	P08575	12	18	16	80901489.25
4179	CD46	P15529	10	18	44	38389988.75
3691	ITGB4	P16144	15	18	33	97142477.44
1901	S1PR1	P21453	12	18	12	NA
6915	TBXA2R	P21731	12	18	NA	NA
7010	TEK	Q02763	15	18	NA	NA
9052	GPRC5A	Q8NFJ5	13	18	38	112526360
9902	MRC2	Q9UBG0	9	18	13	54869606.89
9289	ADGRG1	Q9Y653	12	18	23	10364539.51
4685	NCAM2	O15394	14	17.5	14	NA
1317	SLC31A1	O15431	10	17.5	14	87521908.5
7097	TLR2	O60603	12	17.5	13	7082860.25
8455	ATRN	O75882	11	17.5	29	62581121.44
1536	CYBB	P04839	12	17.5	5	59142230.38
4311	MME	P08473	12	17.5	21	58852454.69
962	CD48	P09326	13	17.5	NA	36995288.5
3107	HLA-C	P10321	11	17.5	49	229179153.4
5792	PTPRF	P10586	10	17.5	31	47472303.44
3815	KIT	P10721	15	17.5	13	415974182
6515	SLC2A3	P11169	8	17.5	22	48730781.28
3482	IGF2R	P11717	9	17.5	28	34621072.08
3575	IL7R	P16871	14	17.5	13	NA
7412	VCAM1	P19320	13	17.5	16	34259858
3683	ITGAL	P20701	12	17.5	8	40279267
5793	PTPRG	P23470	10	17.5	22	31547124
970	CD70	P32970	11	17.5	13	126644215
2324	FLT4	P35916	15	17.5	6	NA
6573	SLC19A1	P41440	13	17.5	21	NA
6507	SLC1A3	P43003	9	17.5	24	NA
6509	SLC1A4	P43007	10	17.5	37	36344573
5663	PSEN1	P49768	10	17.5	27	4100688.125
2049	EPHB3	P54753	11	17.5	31	60530137.03
6558	SLC12A2	P55011	11	17.5	30	31796826.25
1012	CDH13	P55290	13	17.5	7	18939027.25
7852	CXCR4	P61073	10	17.5	17	18316176.69
1525	CXADR	P78310	12	17.5	27	33341416.54
140885	SIRPA	P78324	11	17.5	16	68025756.33
5329	PLAUR	Q03405	11	17.5	22	32302108.75
334	APLP2	Q06481	11	17.5	24	38668443.46
5754	PTK7	Q13308	10	17.5	34	59135536.25
3679	ITGA7	Q13683	12	17.5	14	11876392.5
659	BMPR2	Q13873	13	17.5	4	NA
5818	PVRL1	Q15223	13	17.5	12	13736901.5
4921	DDR2	Q16832	12	17.5	15	46759572
221061	FAM171A1	Q5VUB5	11	17.5	22	7873417.688
80381	CD276	Q5ZPR3	11	17.5	27	51859434.25
79651	RHBDF2	Q6PJF5	11	17.5	25	42381846.5
9332	CD163	Q86VB7	14	17.5	NA	57640285.25
57502	NLGN4X	Q8N0W4	13	17.5	9	NA
23446	SLC44A1	Q8WWI5	9	17.5	33	98753222.13
6653	SORL1	Q92673	12	17.5	20	16794408.5
3140	MR1	Q95460	15	17.5	NA	NA
93185	IGSF8	Q969P0	10	17.5	38	45796551.5
23765	IL17RA	Q96F46	12	17.5	13	NA
55243	KIRREL	Q96J84	12	17.5	30	17033067.69
5027	P2RX7	Q99572	13	17.5	11	NA
2030	SLC29A1	Q99808	12	17.5	28	29137464.22
56889	TM9SF3	Q9HD45	9	17.5	16	82739451.42
29126	CD274	Q9NZQ7	13	17.5	16	4477421.121
53616	ADAM22	Q9P0K1	14	17.5	NA	7827322.063
5738	PTGFRN	Q9P2B2	10	17.5	44	177330425.5
57493	HEG1	Q9ULI3	11	17.5	12	10517193.01
23129	PLXND1	Q9Y4D7	12	17.5	22	27322870.5
57007	ACKR3	P25106	13	17	15	NA
2149	F2R	P25116	11	17	7	18386732.95
134	ADORA1	P30542	13	17	NA	NA
185	AGTR1	P30556	13	17	NA	NA
2687	GGT5	P36269	12	17	10	61881741.84
5097	PCDH1	Q08174	14	17	14	25812763.85
10203	CALCRL	Q16602	13	17	NA	NA
30817	ADGRE2	Q9UHX3	11	17	23	11193933.34
8322	FZD4	Q9ULV1	12	17	NA	NA
7099	TLR4	O00206	13	16.5	NA	NA
375790	AGRN	O00468	11	16.5	41	54053863.16
10384	BTN3A3	O00478	13	16.5	NA	364880401.6
7106	TSPAN4	O14817	12	16.5	31	NA
9123	SLC16A3	O15427	9	16.5	32	74819900.67
109	ADCY3	O60266	11	16.5	11	NA
10154	PLXNC1	O60486	11	16.5	20	23029277.13
115	ADCY9	O60503	11	16.5	12	11162223.72
9194	SLC16A7	O60669	9	16.5	10	12859795.5
27242	TNFRSF21	O75509	13	16.5	15	4448988.551
23114	NFASC	O94856	12	16.5	NA	NA
23555	TSPAN15	O95858	11	16.5	31	NA
1209	CLPTM1	O96005	9	16.5	13	13595680.88
7037	TFRC	P02786	8	16.5	42	90944210.99
4914	NTRK1	P04629	13	16.5	NA	NA
3684	ITGAM	P11215	12	16.5	16	60537248.58
1636	ACE	P12821	12	16.5	25	NA
3920	LAMP2	P13473	9	16.5	18	71367625.13
3384	ICAM2	P13598	11	16.5	14	NA
6402	SELL	P14151	12	16.5	NA	NA
2348	FOLR1	P15328	13	16.5	13	210719192.4
948	CD36	P16671	12	16.5	10	NA
3454	IFNAR1	P17181	12	16.5	NA	NA
965	CD58	P19256	10	16.5	22	16078966.5
2678	GGT1	P19440	11	16.5	24	59484245.73
2316	FLNA	P21333	9	16.5	45	493391645.5
928	CD9	P21926	9	16.5	58	NA
