EntrezID,Gene,3250_overlap,protein_rank_3250,Core GESP Score ,Final GESP Score ,number of EXPERIMENT,Median
1956,EGFR,P,2325,15,25.5,36,39747546.17
960,CD44,P,3034,15,24,35,156613762.8
3688,ITGB1,P,2303,15,23.5,53,376782412
5817,PVR,NA,NA,15,23.5,22,NA
23516,SLC39A14,P,770,15,23.5,22,76422493.25
1000,CDH2,NA,NA,15,22.5,19,20500912.25
1829,DSG2,P,365,15,22.5,33,37308573.13
358,AQP1,NA,NA,15,21.5,NA,NA
3689,ITGB2,NA,NA,15,21.5,8,NA
6548,SLC9A1,P,2853,15,21.5,17,106518801.2
57192,MCOLN1,NA,NA,15,21.5,2,NA
2064,ERBB2,P,2155,15,20.5,28,139375820.6
3897,L1CAM,NA,NA,15,20.5,29,25571467.8
7048,TGFBR2,NA,NA,15,20.5,7,36928391.7
290,ANPEP,P,2621,15,20.5,26,150535202.3
920,CD4,P,952,15,20.5,13,29486556
8910,SGCE,NA,NA,15,20,11,NA
2065,ERBB3,NA,NA,15,19.5,12,49589103.75
999,CDH1,P,2553,15,18.5,26,97165579.5
5979,RET,NA,NA,15,18.5,NA,NA
1002,CDH4,NA,NA,15,18.5,1,NA
6533,SLC6A6,NA,NA,15,18.5,8,49936186.41
7010,TEK,NA,NA,15,18,NA,NA
3691,ITGB4,P,1611,15,18,33,97142477.44
3815,KIT,NA,NA,15,17.5,13,415974182
2324,FLT4,NA,NA,15,17.5,6,NA
3140,MR1,NA,NA,15,17.5,NA,NA
9635,CLCA2,NA,NA,15,16.5,14,2630109.031
6520,SLC3A2,NA,NA,14,25,57,NA
6510,SLC1A5,P,917,14,24.5,40,152562846.5
6513,SLC2A1,P,2565,14,23.5,37,103940664.9
4684,NCAM1,NA,NA,14,22.5,23,38646477.5
5420,PODXL,P,3036,14,22.5,28,55626076.63
102,ADAM10,P,2161,14,22.5,38,74151057
5819,PVRL2,P,755,14,22.5,31,13496376.81
1947,EFNB1,NA,NA,14,22.5,25,60040294.74
483,ATP1B3,P,1830,14,22.5,35,80224181.19
4907,NT5E,P,2365,14,21.5,30,121771561
4233,MET,NA,NA,14,21,24,27486534.63
355,FAS,P,1727,14,21,26,17416653.31
3693,ITGB5,P,932,14,20.5,28,37954064.07
26509,MYOF,P,673,14,20.5,40,118264250.3
4756,NEO1,P,889,14,20.5,6,32867017
23705,CADM1,NA,NA,14,20,11,NA
4072,EPCAM,NA,NA,14,19.5,41,154201763.7
24145,PANX1,NA,NA,14,19.5,21,9504791.122
5802,PTPRS,NA,NA,14,19.5,21,28631355.29
196527,ANO6,P,2160,14,19.5,21,24367404.71
5796,PTPRK,P,1925,14,19,22,24493026.45
3572,IL6ST,NA,NA,14,18.5,14,26719450
5098,PCDHGC3,NA,NA,14,18.5,15,46891775.75
58494,JAM2,NA,NA,14,18.5,2,NA
113235,SLC46A1,NA,NA,14,18.5,17,NA
3575,IL7R,NA,NA,14,17.5,13,NA
9332,CD163,NA,NA,14,17.5,NA,57640285.25
4685,NCAM2,NA,NA,14,17.5,14,NA
53616,ADAM22,NA,NA,14,17.5,NA,7827322.063
5097,PCDH1,P,2858,14,17,14,25812763.85
4973,OLR1,NA,NA,14,16.5,8,NA
84189,SLITRK6,NA,NA,14,16.5,10,88876319
22871,NLGN1,NA,NA,14,16.5,9,NA
10149,ADGRG2,NA,NA,14,16,14,NA
2204,FCAR,NA,NA,14,15.5,10,NA
976,ADGRE5,P,677,13,22,27,30079017.77
3690,ITGB3,NA,NA,13,21.5,21,46426768.8
4162,MCAM,P,993,13,21.5,28,27486941.61
