UNIPROT	Entrez	symbol	GBM_GTEX.Y8DK.0011.R10A.SM.HAKY1	GBM_GTEX.UTHO.0011.R10A.SM.HAKY2	GBM_GTEX.R55F.0011.R10A.SM.HAKXY	GBM_GTEX.QVJO.0011.R10A.SM.HAKXV	GBM_GTEX.P44H.0011.R10A.SM.HAKXX	GBM_GTEX.RU72.0011.R10A.SM.HAKXS	GBM_GTEX.RN5K.0011.R10A.SM.HAKXU	GBM_GTEX.WVLH.0011.R10A.SM.HAKXZ	GBM_GTEX.Q2AG.0011.R10A.SM.HAKXT	GBM_GTEX.NPJ7.0011.R10A.SM.HAKXW
A0A075B6H9	28784	IGLV4-69	-1.368162035	-0.378220746	-3.318924005	-0.995151372	-0.997629606	-0.311482876	-0.476983274	-0.584510368	-1.926144968	-1.423775005
A0A075B6I0	28774	IGLV8-61	-2.42709888	0.088842239	-1.037844392	-1.223607596	-2.565274195	-1.784998562	-1.734722375	NA	-1.370417906	-1.344646862
A0A075B6I1	28785	IGLV4-60	-5.763602187	-0.938471911	-3.110934449	-2.623284294	-2.402655272	-2.985934232	-3.411302502	NA	-2.711496303	-2.85157146
A0A075B6I4	28772	IGLV10-54	-0.029316569	-0.669790797	-1.54378014	-1.649160262	-0.14911554	-0.227132099	-0.518235323	-0.483106651	-0.779665579	-0.286571494
A0A075B6I9	28775	IGLV7-46	-0.709576022	-2.000212992	-1.980461426	-2.30660921	-2.752301377	NA	-2.57064121	NA	-1.933109938	-2.468631154
A0A075B6J9	28814	IGLV2-18	0.112356565	-0.074160483	-0.412576317	-1.517076889	0.066762757	-0.303967362	-0.207236695	-0.433660359	NA	NA
A0A075B6K4	28803	IGLV3-10	NA	-1.135926981	-0.446190734	-0.66854341	NA	-0.343019119	-1.01701445	-2.534683869	NA	0.415337631
A0A075B6K5	28804	IGLV3-9	-2.082979421	-1.61226095	-1.799590166	-0.823250187	-1.500441417	-0.309801762	-0.485430153	-0.493078737	-1.168931306	-0.629100427
A0A075B6Q5	28414	IGHV3-64	-1.686322838	-0.67696534	-0.757529311	-1.741617897	-0.395346487	-1.771383292	-0.928191969	-1.997988746	0.012910112	-0.12350841
A0A075B6R2	28401	IGHV4-4	-2.410126099	-1.717726248	-2.278711235	-4.168644999	-0.783815739	-0.346002772	-1.348325891	-0.674314712	-0.316862631	-0.723617912
A0A075B6S5	28935	IGKV1-27	-3.937346707	-1.043084047	-2.697075469	-2.032798787	-1.234673607	-1.456878642	-0.664287742	NA	-0.954906188	-1.219246064
A0A087WSY4	28398	IGHV4-30-2	-1.551704873	-1.092682467	-1.588736382	-1.150100105	-0.328065109	0.002990023	-1.705414604	NA	-1.213162993	-1.226869783
A0A0A0MS14	28466	IGHV1-45	-1.090196255	-0.965308131	-1.221603486	-2.206140649	-0.802396375	NA	NA	-1.942822009	-1.578843435	-0.516021214
A0A0A0MS15	28423	IGHV3-49	-0.908805201	-0.598846784	-1.183630871	-2.793891032	-0.722043814	-1.444633629	-1.591778425	-0.625771246	-1.988901748	5.11E-05
A0A0B4J1U7	28385	IGHV6-1	-1.042879774	-0.650078942	-1.173019976	-1.338695441	-1.789336047	-1.601736223	-0.75874307	-0.660848377	-1.835099977	-0.996367712
A0A0B4J1V0	28448	IGHV3-15	-0.899292288	-1.525612801	-0.764388008	-0.456452476	0.016776699	-0.198143124	-1.024519395	-0.238862391	-1.214645799	-1.997846652
A0A0B4J1V2	28455	IGHV2-26	-0.479026871	-0.753172325	-1.657858039	-1.236336749	-0.104975297	-2.026970056	-3.247682684	0.118068346	-0.784538169	-0.408213808
A0A0B4J1V6	28409	IGHV3-73	-1.187458856	-2.080775561	-0.090417332	-1.728847765	-0.051661171	-1.861640796	-0.258204784	-0.713267651	-0.834382717	0.011890134
A0A0B4J1X5	28408	IGHV3-74	-3.17930318	-3.176894468	-1.602764925	-1.921908278	-1.093842994	-1.921943156	-1.086257704	-0.852156796	-1.028690032	0.377571847
A0A0B4J1X8	28426	IGHV3-43	-0.286691036	0.008788513	NA	-0.956095869	-0.710304426	-1.968350356	0.161056682	NA	-2.002470948	-0.031591814
A0A0B4J1Y8	28773	IGLV9-49	-0.786911498	-2.757649512	-2.25386589	-2.865868883	-2.248346128	-1.850186103	-2.100483982	NA	-2.076695482	-2.58341862
A0A0B4J1Y9	28410	IGHV3-72	-1.371928266	-1.245985255	-0.649500434	-1.73700424	-0.81397975	-0.126017781	-1.432359313	-3.494255775	-0.449092083	-0.483519965
A0A0B4J2F0	101928527	PIGBOS1	0.426095168	0.387115246	0.458612637	0.319264113	0.328881773	0.295648364	-0.041773351	0.322830659	0.109292236	NA
A0A0C4DH29	28473	IGHV1-3	-1.052309393	-3.935481405	-1.534617546	-3.626466454	0.12716973	-0.305434912	-1.268840873	0.098006511	-1.3667179	-3.164039554
A0A0C4DH31	28468	IGHV1-18	0.233830475	0.604647244	-0.05918132	-0.626412184	0.477186356	0.528075159	0.004902583	NA	-0.385243684	-2.292989391
A0A0C4DH32	28445	IGHV3-20	-0.639746634	0.107165546	-0.324797857	-1.037729042	-0.185128416	-1.22488808	-1.063162187	-0.361898034	NA	0.036240594
A0A0C4DH33	28467	IGHV1-24	-0.210034123	0.074315034	0.357270321	NA	-0.049027111	-0.076274823	-0.506767751	0.012060186	NA	-0.114730271
A0A0C4DH34	28400	IGHV4-28	-2.032444738	-2.903239874	-2.461191233	-1.989233174	-2.011000699	-2.75301999	-1.972249512	NA	-3.30481311	-1.302880442
A0A0C4DH35	28432	IGHV3-35	-1.313805309	-3.318590761	-0.426432021	-1.772799092	-1.227462858	-1.975629678	-2.345986405	-1.208518861	-2.252571367	-2.099480084
A0A0C4DH38	28388	IGHV5-51	-2.348357217	-1.946335051	-0.189361187	-1.995663742	-0.901376081	-1.156476443	-0.895482639	-1.62561565	-0.989685951	-1.012728867
A0A0C4DH43	102723168	IGHV2-70D	-2.183759298	-1.141444622	-1.888256158	-1.031752803	-1.359932899	-0.681201894	-1.919508538	-1.102450682	-0.791445753	-1.1271735
A0A0J9YX35	102723170	IGHV3-64D	-4.591957366	-1.794194333	-1.67730671	-2.905882407	-0.660825201	-1.165189148	-1.809753212	-1.06451868	-1.02959917	-2.685315107
A0A0J9YXX1	28386	IGHV5-10-1	-1.682608877	-0.28662144	-0.858917603	-1.822662226	-3.761033532	-3.171758601	-2.523382952	-3.92568428	-1.232113927	-2.204566994
A0A0U1RQS6	105378696	TMEM275	2.144114892	0.948397825	1.034697618	1.776379661	1.854860779	2.585891238	0.909729674	2.835502266	1.88382404	1.089310057
A0A0U1RRE5	550643	NBDY	-0.060818786	-0.136398605	-0.125417626	-0.000335489	0.393603718	0.075959071	-0.150172464	0.066282574	0.110258249	-0.049343422
A0A0U1RRL7	101410538	MMP24OS	0.639564105	2.333254941	0.27561746	0.682351418	0.597750392	0.566577498	0.53329467	0.905609687	0.938561571	0.553641464
A0AV96	54502	RBM47	-1.044835305	-0.663662836	-0.919599637	-1.209937521	-0.456883252	-1.089056111	-0.423269876	-0.063113073	-0.314403944	-0.051078942
A0AVF1	79989	TTC26	-0.542177457	-0.309062147	-0.486944784	-0.473426619	-0.880421823	-0.470986035	-0.585543167	-0.341248111	-0.159052069	-0.102561964
A0AVT1	55236	UBA6	-0.048616508	-0.022528376	-0.017492266	-0.02905231	-0.063610137	0.037593492	0.018835083	-0.097239166	-0.001067925	-0.097608632
A0FGR8	57488	ESYT2	0.29546468	0.324559569	0.282085848	0.409922578	0.312139259	0.300013611	0.317632322	0.268323657	0.296953118	0.370686425
A0JLT2	219541	MED19	0.492484234	0.125457876	-0.019928186	0.207431625	0.104653559	0.097757593	-0.076120561	-0.809784025	-0.480588456	-0.051207991
A0JNW5	23074	BLTP3B	0.4801698	0.417377232	0.463588921	0.508047645	0.559371311	0.524735619	0.521300464	0.447317342	0.488473721	0.471136644
A0M8Q6	28834	IGLC7	-2.46294882	-3.411568524	-1.860325042	-3.768689591	-1.351812725	-1.47395055	-3.110206609	-3.096402082	-2.655653407	-1.428047866
A0MZ66	57698	SHTN1	0.375704932	0.366468499	0.406734654	0.315806104	0.379083941	0.503294424	0.539609475	0.32858619	0.207592301	0.239283134
A0PJW6	79064	TMEM223	0.346546715	0.460251119	0.24836939	0.214351963	0.279734577	0.281094901	0.421339597	0.545604574	0.764102588	0.473215369
A0PK00	144404	TMEM120B	0.326987909	0.439547103	0.42876331	0.418572043	0.403664847	NA	0.087859186	NA	-0.025879522	0.467260533
A1A4S6	79658	ARHGAP10	0.116544937	0.010964483	0.108481543	0.064770939	-0.201036256	-0.012023435	-0.244685894	-0.134107253	0.034122009	0.074158547
A1A5C7	63027	SLC22A23	0.685083298	0.810256046	0.773327736	0.731698825	0.810917935	0.689286187	0.476010204	0.732788391	0.78934434	0.718481479
A1IGU5	389337	ARHGEF37	0.191459855	0.171100643	0.165550029	0.200498257	0.178281334	0.283556814	0.397740633	0.157059215	0.172953709	0.257593506
A1L020	92312	MEX3A	0.114541288	-1.156411658	-0.081628297	-0.398800775	-0.37531992	-0.088656271	-0.320162761	0.195525599	-0.636176163	-0.923879189
A1L0T0	10994	ILVBL	0.127533871	0.145619999	0.171686664	0.180961692	0.135224943	0.140793644	-0.04236631	0.12395543	0.097617573	0.109484953
