case_id	cohort	tumor	TN
UCEC_C3N.00858_T	UCEC	1	Tumor
UCEC_C3L.01252_T	UCEC	1	Tumor
UCEC_C3L.00947_T	UCEC	1	Tumor
UCEC_C3N.00734_T	UCEC	1	Tumor
UCEC_C3L.01248_T	UCEC	1	Tumor
UCEC_C3N.00850_T	UCEC	1	Tumor
UCEC_C3L.00361_T	UCEC	1	Tumor
UCEC_C3L.01249_T	UCEC	1	Tumor
UCEC_C3N.00383_T	UCEC	1	Tumor
UCEC_C3L.00949_T	UCEC	1	Tumor
UCEC_C3L.00032_T	UCEC	1	Tumor
UCEC_C3L.01744_T	UCEC	1	Tumor
UCEC_C3L.01311_T	UCEC	1	Tumor
UCEC_C3L.01256_T	UCEC	1	Tumor
UCEC_C3L.00358_T	UCEC	1	Tumor
UCEC_C3L.00942_T	UCEC	1	Tumor
UCEC_C3N.00389_T	UCEC	1	Tumor
UCEC_C3L.01307_T	UCEC	1	Tumor
UCEC_C3L.01282_T	UCEC	1	Tumor
UCEC_C3L.01304_T	UCEC	1	Tumor
UCEC_C3L.00946_T	UCEC	1	Tumor
UCEC_C3N.00322_T	UCEC	1	Tumor
UCEC_C3N.00337_T	UCEC	1	Tumor
UCEC_C3N.00333_T	UCEC	1	Tumor
UCEC_C3L.00006_T	UCEC	1	Tumor
UCEC_C3L.00769_T	UCEC	1	Tumor
UCEC_C3L.00362_T	UCEC	1	Tumor
UCEC_C3L.01312_T	UCEC	1	Tumor
UCEC_C3L.00449_T	UCEC	1	Tumor
UCEC_C3L.00601_T	UCEC	1	Tumor
UCEC_C3N.00729_T	UCEC	1	Tumor
UCEC_C3L.00586_T	UCEC	1	Tumor
UCEC_C3N.01212_T	UCEC	1	Tumor
UCEC_C3N.00836_T	UCEC	1	Tumor
UCEC_C3N.00339_T	UCEC	1	Tumor
UCEC_C3L.01246_T	UCEC	1	Tumor
UCEC_C3L.01257_T	UCEC	1	Tumor
UCEC_C3L.00780_T	UCEC	1	Tumor
UCEC_C3N.01217_T	UCEC	1	Tumor
UCEC_C3N.00323_T	UCEC	1	Tumor
UCEC_C3L.00918_T	UCEC	1	Tumor
UCEC_C3N.00866_T	UCEC	1	Tumor
UCEC_C3L.00932_T	UCEC	1	Tumor
UCEC_C3L.00963_T	UCEC	1	Tumor
UCEC_C3N.00335_T	UCEC	1	Tumor
UCEC_C3N.00326_T	UCEC	1	Tumor
UCEC_C3L.00961_T	UCEC	1	Tumor
UCEC_C3L.00770_T	UCEC	1	Tumor
UCEC_C3N.00200_T	UCEC	1	Tumor
UCEC_C3N.00379_T	UCEC	1	Tumor
UCEC_C3L.01275_T	UCEC	1	Tumor
UCEC_C3N.01003_T	UCEC	1	Tumor
UCEC_C3N.00386_T	UCEC	1	Tumor
UCEC_C3L.00145_T	UCEC	1	Tumor
UCEC_C3N.01211_T	UCEC	1	Tumor
UCEC_C3L.01247_T	UCEC	1	Tumor
UCEC_C3N.00340_T	UCEC	1	Tumor
UCEC_C3N.01825_T	UCEC	1	Tumor
UCEC_C3N.01267_T	UCEC	1	Tumor
UCEC_C3N.00321_T	UCEC	1	Tumor
UCEC_C3L.00905_T	UCEC	1	Tumor
UCEC_C3L.01253_T	UCEC	1	Tumor
UCEC_C3L.00771_T	UCEC	1	Tumor
UCEC_C3L.00563_T	UCEC	1	Tumor
UCEC_C3L.00356_T	UCEC	1	Tumor
UCEC_C3L.00139_T	UCEC	1	Tumor
UCEC_C3N.00324_T	UCEC	1	Tumor
UCEC_C3L.00605_T	UCEC	1	Tumor
UCEC_C3N.00743_T	UCEC	1	Tumor
UCEC_C3N.01219_T	UCEC	1	Tumor
UCEC_C3N.01520_T	UCEC	1	Tumor
UCEC_C3L.00090_T	UCEC	1	Tumor
UCEC_C3N.00880_T	UCEC	1	Tumor
UCEC_C3N.00328_T	UCEC	1	Tumor
UCEC_C3L.00767_T	UCEC	1	Tumor
UCEC_C3N.01346_T	UCEC	1	Tumor
UCEC_C3N.00388_T	UCEC	1	Tumor
UCEC_C3N.01537_T	UCEC	1	Tumor
UCEC_C3L.00413_T	UCEC	1	Tumor
UCEC_C3L.00157_T	UCEC	1	Tumor
UCEC_C3L.00161_T	UCEC	1	Tumor
UCEC_C3N.01349_T	UCEC	1	Tumor
UCEC_C3N.01521_T	UCEC	1	Tumor
UCEC_C3L.00098_T	UCEC	1	Tumor
UCEC_C3N.00334_T	UCEC	1	Tumor
UCEC_C3N.00377_T	UCEC	1	Tumor
UCEC_C3L.00143_T	UCEC	1	Tumor
UCEC_C3N.01510_T	UCEC	1	Tumor
UCEC_C3L.01925_T	UCEC	1	Tumor
UCEC_C3L.00921_T	UCEC	1	Tumor
UCEC_C3L.00156_T	UCEC	1	Tumor
UCEC_C3L.00938_T	UCEC	1	Tumor
UCEC_C3L.00137_T	UCEC	1	Tumor
UCEC_C3N.00848_T	UCEC	1	Tumor
UCEC_C3L.00781_T	UCEC	1	Tumor
UCEC_C3N.01802_T	UCEC	1	Tumor
UCEC_C3N.00151_T	UCEC	1	Tumor
UCEC_C3L.00136_T	UCEC	1	Tumor
UCEC_C3L.00008_T	UCEC	1	Tumor
UCEC_C3N.00847_T	UCEC	1	Tumor
LUAD_C3N.01799_T	LUAD	1	Tumor
LUAD_C3L.01890_T	LUAD	1	Tumor
LUAD_C3N.00572_T	LUAD	1	Tumor
LUAD_C3N.02423_T	LUAD	1	Tumor
LUAD_C3N.02729_T	LUAD	1	Tumor
LUAD_C3L.00263_T	LUAD	1	Tumor
LUAD_C3N.01410_T	LUAD	1	Tumor
LUAD_C3N.00578_T	LUAD	1	Tumor
LUAD_C3N.02587_T_1	LUAD	1	Tumor
LUAD_C3L.00893_T	LUAD	1	Tumor
LUAD_C3N.01488_T	LUAD	1	Tumor
LUAD_C3N.01413_T	LUAD	1	Tumor
LUAD_C3N.01030_T	LUAD	1	Tumor
LUAD_C3N.02588_T	LUAD	1	Tumor
LUAD_C3N.00552_T	LUAD	1	Tumor
LUAD_C3L.01889_T	LUAD	1	Tumor
LUAD_C3N.00169_T	LUAD	1	Tumor
LUAD_C3L.00422_T	LUAD	1	Tumor
LUAD_C3L.00083_T	LUAD	1	Tumor
LUAD_C3N.00551_T	LUAD	1	Tumor
LUAD_C3N.01842_T	LUAD	1	Tumor
LUAD_C3N.02089_T	LUAD	1	Tumor
LUAD_C3L.01682_T	LUAD	1	Tumor
LUAD_C3N.01016_T	LUAD	1	Tumor
LUAD_C3N.00580_T	LUAD	1	Tumor
LUAD_11LU013_T	LUAD	1	Tumor
LUAD_C3N.02000_T	LUAD	1	Tumor
LUAD_C3N.01489_T	LUAD	1	Tumor
LUAD_C3N.00737_T	LUAD	1	Tumor
LUAD_C3N.01405_T	LUAD	1	Tumor
LUAD_C3N.02587_T_2	LUAD	1	Tumor
LUAD_C3N.01416_T	LUAD	1	Tumor
LUAD_C3N.02149_T	LUAD	1	Tumor
LUAD_C3N.02424_T	LUAD	1	Tumor
LUAD_C3L.00279_T	LUAD	1	Tumor
LUAD_C3N.02379_T_1	LUAD	1	Tumor
LUAD_C3L.00095_T	LUAD	1	Tumor
LUAD_C3N.02572_T	LUAD	1	Tumor
LUAD_C3N.00559_T	LUAD	1	Tumor
LUAD_C3N.00545_T	LUAD	1	Tumor
LUAD_11LU016_T	LUAD	1	Tumor
LUAD_C3L.02345_T	LUAD	1	Tumor
LUAD_C3L.00093_T	LUAD	1	Tumor
LUAD_C3L.00510_T	LUAD	1	Tumor
LUAD_C3L.00913_T	LUAD	1	Tumor
LUAD_11LU022_T	LUAD	1	Tumor
LUAD_C3L.00412_T	LUAD	1	Tumor
LUAD_C3N.01415_T	LUAD	1	Tumor
LUAD_C3N.00549_T	LUAD	1	Tumor
LUAD_C3N.02433_T	LUAD	1	Tumor
LUAD_C3N.01021_T	LUAD	1	Tumor
LUAD_C3N.00203_T	LUAD	1	Tumor
LUAD_C3L.01330_T	LUAD	1	Tumor
LUAD_C3N.00574_T	LUAD	1	Tumor
LUAD_11LU035_T	LUAD	1	Tumor
LUAD_C3N.01071_T	LUAD	1	Tumor
LUAD_C3N.00550_T	LUAD	1	Tumor
LUAD_C3N.00167_T	LUAD	1	Tumor
LUAD_C3L.00001_T	LUAD	1	Tumor
LUAD_C3N.01074_T	LUAD	1	Tumor
LUAD_C3L.01632_T	LUAD	1	Tumor
LUAD_C3N.02155_T	LUAD	1	Tumor
LUAD_C3N.00217_T	LUAD	1	Tumor
LUAD_C3N.02002_T	LUAD	1	Tumor
LUAD_C3N.02145_T	LUAD	1	Tumor
LUAD_C3N.02586_T	LUAD	1	Tumor
LUAD_C3L.02219_T	LUAD	1	Tumor
LUAD_C3N.00180_T	LUAD	1	Tumor
LUAD_C3L.01862_T	LUAD	1	Tumor
LUAD_C3N.00704_T	LUAD	1	Tumor
LUAD_C3N.02158_T	LUAD	1	Tumor
LUAD_C3N.02421_T	LUAD	1	Tumor
LUAD_C3N.00556_T	LUAD	1	Tumor
LUAD_C3N.00294_T	LUAD	1	Tumor
LUAD_C3N.01072_T	LUAD	1	Tumor
LUAD_C3L.00094_T	LUAD	1	Tumor
LUAD_C3L.00144_T	LUAD	1	Tumor
LUAD_C3N.00223_T	LUAD	1	Tumor
LUAD_C3N.02380_T	LUAD	1	Tumor
LUAD_C3L.01924_T	LUAD	1	Tumor
LUAD_C3N.00433_T	LUAD	1	Tumor
LUAD_C3L.01683_T	LUAD	1	Tumor
LUAD_C3N.00293_T	LUAD	1	Tumor
LUAD_C3L.00009_T	LUAD	1	Tumor
LUAD_C3N.00546_T	LUAD	1	Tumor
LUAD_C3N.01414_T	LUAD	1	Tumor
LUAD_C3N.02087_T	LUAD	1	Tumor
LUAD_C3L.00140_T	LUAD	1	Tumor
LUAD_C3N.02529_T	LUAD	1	Tumor
LUAD_C3L.00368_T	LUAD	1	Tumor
LUAD_C3N.02067_T	LUAD	1	Tumor
LUAD_C3N.02422_T	LUAD	1	Tumor
LUAD_C3L.00080_T	LUAD	1	Tumor
LUAD_C3N.00547_T	LUAD	1	Tumor
LUAD_C3N.01023_T	LUAD	1	Tumor
LUAD_C3N.01024_T	LUAD	1	Tumor
LUAD_C3L.00973_T	LUAD	1	Tumor
LUAD_C3L.02348_T	LUAD	1	Tumor
LUAD_C3L.02508_T	LUAD	1	Tumor
LUAD_C3N.00560_T	LUAD	1	Tumor
LUAD_C3L.00604_T	LUAD	1	Tumor
LUAD_C3N.00199_T	LUAD	1	Tumor
LUAD_C3N.00579_T	LUAD	1	Tumor
LUAD_C3N.02582_T	LUAD	1	Tumor
LUAD_C3N.02379_T_2	LUAD	1	Tumor
LUAD_C3L.02350_T	LUAD	1	Tumor
LUAD_C3N.00738_T	LUAD	1	Tumor
LUAD_C3N.00959_T	LUAD	1	Tumor
LUAD_C3N.02003_T	LUAD	1	Tumor
LUAD_C3N.00175_T	LUAD	1	Tumor
LUAD_C3N.01823_T	LUAD	1	Tumor
LUAD_C3L.02549_T	LUAD	1	Tumor
LUAD_C3L.02365_T	LUAD	1	Tumor
GBM_C3N.03183	GBM	1	Tumor
GBM_C3N.01505	GBM	1	Tumor
GBM_C3N.03188	GBM	1	Tumor
GBM_C3L.02984	GBM	1	Tumor
GBM_C3L.02542	GBM	1	Tumor
GBM_C3L.01142	GBM	1	Tumor
GBM_C3L.01834	GBM	1	Tumor
GBM_C3N.02256	GBM	1	Tumor
GBM_C3N.01814	GBM	1	Tumor
GBM_C3N.02770	GBM	1	Tumor
GBM_C3N.01364	GBM	1	Tumor
GBM_C3L.00365	GBM	1	Tumor
GBM_C3L.03266	GBM	1	Tumor
GBM_C3N.01798	GBM	1	Tumor
GBM_C3L.01146	GBM	1	Tumor
GBM_C3L.03748	GBM	1	Tumor
GBM_C3N.02783	GBM	1	Tumor
GBM_C3L.02708	GBM	1	Tumor
GBM_C3N.02782	GBM	1	Tumor
GBM_C3N.02186	GBM	1	Tumor
GBM_C3N.01367	GBM	1	Tumor
GBM_C3L.01048	GBM	1	Tumor
GBM_C3L.01149	GBM	1	Tumor
GBM_C3L.03260	GBM	1	Tumor
GBM_C3N.01192	GBM	1	Tumor
GBM_C3L.03407	GBM	1	Tumor
GBM_C3L.03387	GBM	1	Tumor
GBM_C3L.02970	GBM	1	Tumor
GBM_C3L.01043	GBM	1	Tumor
GBM_C3L.01156	GBM	1	Tumor
GBM_C3N.02183	GBM	1	Tumor
GBM_C3L.03681	GBM	1	Tumor
GBM_C3L.01154	GBM	1	Tumor
GBM_C3L.03728	GBM	1	Tumor
GBM_C3N.01818	GBM	1	Tumor
GBM_C3L.00674	GBM	1	Tumor
GBM_C3N.03186	GBM	1	Tumor
GBM_C3N.02181	GBM	1	Tumor
GBM_C3N.02784	GBM	1	Tumor
GBM_C3N.01517	GBM	1	Tumor
GBM_C3L.02707	GBM	1	Tumor
GBM_C3L.02955	GBM	1	Tumor
GBM_C3N.03182	GBM	1	Tumor
GBM_C3L.03392	GBM	1	Tumor
GBM_C3L.03405	GBM	1	Tumor
GBM_C3L.02465	GBM	1	Tumor
GBM_C3L.03747	GBM	1	Tumor
GBM_C3N.03473	GBM	1	Tumor
GBM_C3L.01049	GBM	1	Tumor
GBM_C3N.02185	GBM	1	Tumor
GBM_C3N.01851	GBM	1	Tumor
GBM_C3N.01816	GBM	1	Tumor
GBM_C3N.01369	GBM	1	Tumor
GBM_C3L.02642	GBM	1	Tumor
GBM_C3L.03390	GBM	1	Tumor
GBM_C3N.03088	GBM	1	Tumor
GBM_C3L.01155	GBM	1	Tumor
GBM_C3N.03070	GBM	1	Tumor
GBM_C3L.01045	GBM	1	Tumor
GBM_C3L.00677	GBM	1	Tumor
GBM_C3N.02255	GBM	1	Tumor
GBM_C3L.01061	GBM	1	Tumor
GBM_C3L.02041	GBM	1	Tumor
GBM_C3L.01046	GBM	1	Tumor
GBM_C3N.01518	GBM	1	Tumor
GBM_C3N.00662	GBM	1	Tumor
GBM_C3L.03400	GBM	1	Tumor
GBM_C3N.01815	GBM	1	Tumor
GBM_C3N.01856	GBM	1	Tumor
GBM_C3L.02704	GBM	1	Tumor
GBM_C3L.01887	GBM	1	Tumor
GBM_C3N.01857	GBM	1	Tumor
GBM_C3N.01196	GBM	1	Tumor
GBM_C3N.01366	GBM	1	Tumor
GBM_C3N.00661	GBM	1	Tumor
GBM_C3L.03744	GBM	1	Tumor
GBM_C3L.03968	GBM	1	Tumor
GBM_C3L.02504	GBM	1	Tumor
GBM_C3N.02788	GBM	1	Tumor
GBM_C3L.04084	GBM	1	Tumor
GBM_C3L.01157	GBM	1	Tumor
GBM_C3L.02705	GBM	1	Tumor
GBM_C3N.01334	GBM	1	Tumor
GBM_C3N.03180	GBM	1	Tumor
GBM_C3N.01852	GBM	1	Tumor
GBM_C3L.03727	GBM	1	Tumor
GBM_C3N.01368	GBM	1	Tumor
GBM_C3N.00665	GBM	1	Tumor
GBM_C3N.03184	GBM	1	Tumor
GBM_C3L.02900	GBM	1	Tumor
GBM_C3N.00663	GBM	1	Tumor
GBM_C3L.01327	GBM	1	Tumor
GBM_C3N.02786	GBM	1	Tumor
GBM_C3L.01040	GBM	1	Tumor
GBM_C3N.02188	GBM	1	Tumor
GBM_C3N.01515	GBM	1	Tumor
GBM_C3L.00104	GBM	1	Tumor
GBM_C3N.02769	GBM	1	Tumor
GBM_C3N.02785	GBM	1	Tumor
GBM_C3N.02190	GBM	1	Tumor
PDCJHU_C3N.03884_T	PDCJHU	1	Tumor
PDCJHU_C3L.03123_T	PDCJHU	1	Tumor
PDCJHU_C3L.01687_T	PDCJHU	1	Tumor
PDCJHU_C3L.00589_T	PDCJHU	1	Tumor
PDCJHU_C3L.00599_T	PDCJHU	1	Tumor
PDCJHU_C3L.01054_T	PDCJHU	1	Tumor
PDCJHU_C3N.01379_T	PDCJHU	1	Tumor
PDCJHU_C3L.03356_T	PDCJHU	1	Tumor
PDCJHU_C3L.03630_T	PDCJHU	1	Tumor
PDCJHU_C3L.02890_T	PDCJHU	1	Tumor
PDCJHU_C3N.01166_T	PDCJHU	1	Tumor
PDCJHU_C3N.04126_T	PDCJHU	1	Tumor
PDCJHU_C3L.02610_T	PDCJHU	1	Tumor
PDCJHU_C3N.03853_T	PDCJHU	1	Tumor
PDCJHU_C3N.03000_T	PDCJHU	1	Tumor
PDCJHU_C3N.04283_T	PDCJHU	1	Tumor
PDCJHU_C3L.04495_T	PDCJHU	1	Tumor
PDCJHU_C3L.01689_T	PDCJHU	1	Tumor
PDCJHU_C3N.02768_T	PDCJHU	1	Tumor
PDCJHU_C3N.03430_T	PDCJHU	1	Tumor
PDCJHU_C3L.03371_T	PDCJHU	1	Tumor
PDCJHU_C3N.01388_T	PDCJHU	1	Tumor
PDCJHU_C3L.03388_T	PDCJHU	1	Tumor
PDCJHU_C3L.01971_T	PDCJHU	1	Tumor
PDCJHU_C3N.01900_T	PDCJHU	1	Tumor
PDCJHU_C3L.03628_T	PDCJHU	1	Tumor
PDCJHU_C3N.01998_T	PDCJHU	1	Tumor
PDCJHU_C3L.01637_T	PDCJHU	1	Tumor
PDCJHU_C3N.00198_T	PDCJHU	1	Tumor
PDCJHU_C3L.03394_T	PDCJHU	1	Tumor
PDCJHU_C3N.01907_T	PDCJHU	1	Tumor
PDCJHU_C3N.02971_T	PDCJHU	1	Tumor
PDCJHU_C3N.00249_T	PDCJHU	1	Tumor
PDCJHU_C3N.03754_T	PDCJHU	1	Tumor
PDCJHU_C3L.01453_T	PDCJHU	1	Tumor
PDCJHU_C3L.02809_T	PDCJHU	1	Tumor
PDCJHU_C3L.02109_T	PDCJHU	1	Tumor
PDCJHU_C3L.01598_T	PDCJHU	1	Tumor
PDCJHU_C3N.03173_T	PDCJHU	1	Tumor
PDCJHU_C3N.03666_T	PDCJHU	1	Tumor
PDCJHU_C3L.04479_T	PDCJHU	1	Tumor
PDCJHU_C3N.01168_T	PDCJHU	1	Tumor
PDCJHU_C3L.02606_T	PDCJHU	1	Tumor
PDCJHU_C3N.01997_T	PDCJHU	1	Tumor
