UNIPROT	Entrez	symbol	OV_01OV007_N	OV_17OV003_N	OV_01OV023_N	OV_17OV005_N	OV_01OV017_N	OV_11OV002_N	OV_01OV029_N	OV_14OV011_N	OV_17OV004_N	OV_01OV039_N	OV_15OV001_N	OV_01OV013_N	OV_11OV010_N	OV_01OV019_N	OV_01OV008_N	OV_14OV029_N	OV_01OV010_N	OV_17OV002_N	OV_17OV001_N
A0A075B6H9	28784	IGLV4-69	0.78461332	1.148708965	0.509671781	-0.178050436	-2.163600469	0.770786517	0.539551061	0.412088764	0.591934551	0.362814255	2.677152227	0.124825207	1.038502454	0.803354502	0.221579359	3.31128455	0.038537686	0.357394409	-1.519443959
A0A075B6I0	28774	IGLV8-61	1.545826878	1.758900748	0.244371557	1.130286489	0.620215602	1.166646734	0.746942448	0.796944447	0.612419777	1.185383069	1.166686792	1.086744221	2.132053251	0.334935287	1.970458681	1.718998871	-0.433120695	-0.076833603	0.014615034
A0A075B6I1	28785	IGLV4-60	1.447139439	-0.008191439	0.834542713	0.600228742	-4.233553697	0.418162941	0.270528723	0.807405671	1.001533939	0.905888181	1.766506776	-0.254046034	0.762350054	-1.736906498	-0.025445937	1.709472092	-0.136289204	0.034563271	-0.615244998
A0A075B6I4	28772	IGLV10-54	0.806475336	0.005974854	2.136564651	0.535611177	NA	NA	0.934048308	0.641538606	0.194068048	0.287208534	2.512087777	1.147257213	2.297329311	0.119932352	0.123565435	3.083695059	NA	1.064697941	NA
A0A075B6J9	28814	IGLV2-18	1.105648476	1.52568893	1.435677272	0.654083019	-0.150967885	0.752891628	1.916209659	0.847739979	1.429529684	0.858224393	0.735896993	0.329029912	1.406318956	NA	NA	2.121993373	0.806167769	0.92340729	1.345199968
A0A075B6K4	28803	IGLV3-10	NA	-0.960810137	1.654129735	-0.081183843	-0.417644026	-0.495495559	0.563231851	-1.088038377	0.590743778	NA	-0.481887393	-1.630791308	-1.52417157	0.39399415	-3.033991	0.429057368	-0.542481379	-1.110636695	-1.107664488
A0A075B6K5	28804	IGLV3-9	-0.123059964	0.130952097	1.724158854	0.419212503	-0.310697307	2.85197242	1.357182314	0.301690733	-0.00495577	0.291825812	0.714191504	-0.11286519	0.226922519	-0.026241179	0.622283603	2.264711684	0.544306299	-2.040105942	-1.342074869
A0A075B6R2	28401	IGHV4-4	1.257562868	1.134604469	1.387736126	0.694459899	0.378202851	1.885894289	0.212692932	-0.704664384	-0.014982287	0.588957156	-2.126382402	-0.959950912	1.010660521	0.622677498	0.976862015	-0.413440547	-0.874037691	0.345881614	-1.92258652
A0A087WSZ0	28904	IGKV1D-8	0.395672507	-0.469224178	0.925706645	-0.026939579	0.810563324	1.03464446	0.389163743	-1.104629542	1.255012335	-0.184056321	NA	-0.354967739	0.368127816	0.112519436	1.228972892	1.004736319	-0.024026196	0.154382665	-1.064497508
A0A0A0MS15	28423	IGHV3-49	0.483937079	1.153261761	1.219625592	0.313972052	0.31827552	1.178770515	0.127251207	-1.23572397	0.652179428	-0.103534758	0.179244609	0.036559658	1.07764257	0.59882962	-0.631818403	0.622698495	-1.200526706	0.337283252	NA
A0A0B4J1U3	28826	IGLV1-36	-1.426229958	2.329933229	-0.558493467	2.0752953	NA	NA	-0.368562614	-1.703235443	0.828810264	0.351095672	1.02071016	-0.625289176	-1.123070855	-0.292076878	0.099685211	0.491271013	-0.206351432	1.669874765	-0.514244342
A0A0B4J1U7	28385	IGHV6-1	0.438434975	1.942813231	0.624848032	0.596496373	0.17255349	1.370079947	-0.17739885	-0.507709843	0.205406792	0.567291417	0.813396843	0.630923559	1.126763967	-2.1011493	1.796375784	1.384348805	-0.811061351	0.46123244	-1.194830059
A0A0B4J1V0	28448	IGHV3-15	0.527486484	0.817439001	0.497337689	-0.560097603	0.537365487	0.379711883	0.621311163	-0.593769415	1.138454789	2.595865361	2.006515353	-0.5764311	0.150839624	0.349845808	-1.191832377	1.888439822	-1.590989332	0.161796696	-0.14369046
A0A0B4J1V2	28455	IGHV2-26	0.725053915	1.923718649	0.079674977	1.17439985	-0.003419634	0.056343304	0.40207624	0.264232478	0.49464182	0.967800444	0.073263025	0.998935063	0.848654864	-0.932717855	1.055117733	1.682848978	-1.301413394	0.743439078	0.244153004
A0A0B4J1V6	28409	IGHV3-73	1.09260722	0.44675241	1.232989176	-0.381890249	0.456620186	1.230766356	0.549831298	0.729493953	1.843741393	0.757714575	0.865118257	0.215253429	0.409088241	1.192060006	0.212319916	NA	NA	0.857728178	-0.510773098
A0A0B4J1X5	28408	IGHV3-74	1.077066453	0.891210151	1.21378326	-0.162166087	1.218163852	1.834592173	0.588383504	0.661656445	0.877940514	-0.068603207	2.111348502	-0.705274118	1.007738453	0.442788018	0.507043839	2.600113698	-0.929256609	0.186429523	-0.329653749
A0A0B4J1Y8	28773	IGLV9-49	1.232487289	1.558724005	-0.115688331	1.26343355	1.347041766	0.175320679	0.883900743	0.224571188	0.741279273	0.396204822	2.441444947	0.813210873	0.685229809	0.090577666	-2.040341381	1.232228444	0.428239999	1.890027303	-0.653437473
A0A0B4J1Y9	28410	IGHV3-72	0.893235861	0.759033046	1.834020219	-0.07654126	NA	NA	0.422830837	0.874360406	1.443402439	0.020494502	1.496310707	0.287719526	0.20515475	0.959887044	-0.082639101	2.809980197	0.357688659	0.351511617	-0.024287986
A0A0B4J2F0	101928527	PIGBOS1	0.074182042	0.040604556	0.381582766	0.472839858	NA	NA	-2.094385876	-1.266440886	-0.359702426	0.712902199	-0.237544893	0.946488218	0.631344356	0.464011963	1.276746865	0.424855238	-1.791626106	NA	1.48312712
A0A0C4DH25	28874	IGKV3D-20	1.239068033	2.308146255	1.354968326	0.568661729	1.124666416	0.965659509	0.509363225	-0.540421339	-1.173900701	0.663284959	1.637089834	0.241220988	1.247551649	-0.008567468	-0.179555015	1.287366143	0.201854515	-1.38276916	0.273582673
