"rownames(HR_result)"	"beta"	"HR"	"HR_CI.95..CI.for.HR."	"Likelihood.test"	"p.value"
"1"	"A0A075B6H9"	"0.15"	"1.2"	" (0.8-1.7)"	"0.62"	"0.43"
"2"	"A0A075B6I0"	"0.012"	"1"	" (0.69-1.5)"	"0.0038"	"0.95"
"3"	"A0A075B6I1"	"0.066"	"1.1"	" (0.7-1.6)"	"0.096"	"0.76"
"4"	"A0A075B6I4"	"0.16"	"1.2"	" (0.8-1.7)"	"0.66"	"0.42"
"5"	"A0A075B6J9"	"0.4"	"1.5"	" (0.99-2.2)"	"3.7"	"0.056"
"6"	"A0A075B6K4"	"0.18"	"1.2"	" (0.78-1.9)"	"0.68"	"0.41"
"7"	"A0A075B6K5"	"0.082"	"1.1"	" (0.74-1.6)"	"0.17"	"0.68"
"8"	"A0A075B6Q5"	"0.22"	"1.2"	" (0.8-1.9)"	"0.94"	"0.33"
"9"	"A0A075B6R2"	"-0.033"	"0.97"	" (0.67-1.4)"	"0.031"	"0.86"
"10"	"A0A075B6S5"	"0.23"	"1.3"	" (0.86-1.8)"	"1.4"	"0.24"
"11"	"A0A087WSY4"	"-0.13"	"0.87"	" (0.58-1.3)"	"0.41"	"0.52"
"12"	"A0A0A0MS15"	"0.29"	"1.3"	" (0.92-1.9)"	"2.4"	"0.12"
"13"	"A0A0B4J1U7"	"0.016"	"1"	" (0.7-1.5)"	"0.0073"	"0.93"
"14"	"A0A0B4J1V0"	"-0.18"	"0.84"	" (0.58-1.2)"	"0.9"	"0.34"
"15"	"A0A0B4J1V2"	"-0.2"	"0.82"	" (0.57-1.2)"	"1.1"	"0.3"
"16"	"A0A0B4J1V6"	"0.22"	"1.2"	" (0.81-1.9)"	"1"	"0.31"
"17"	"A0A0B4J1X5"	"0.27"	"1.3"	" (0.9-1.9)"	"2"	"0.15"
"18"	"A0A0B4J1X8"	"-0.056"	"0.95"	" (0.63-1.4)"	"0.072"	"0.79"
"19"	"A0A0B4J1Y8"	"0.1"	"1.1"	" (0.76-1.6)"	"0.29"	"0.59"
"20"	"A0A0B4J1Y9"	"0.38"	"1.5"	" (0.99-2.1)"	"3.7"	"0.055"
"21"	"A0A0B4J2F0"	"-0.2"	"0.82"	" (0.55-1.2)"	"0.97"	"0.33"
"22"	"A0A0C4DH29"	"0.34"	"1.4"	" (0.94-2.1)"	"2.8"	"0.096"
