EntrezID,Gene,Ensembl,Genomic Location,Core GESP Score ,Final GESP Score ,Integral monotopic GESP,GPCR,Ion Channel,Kinase,Enzyme,Transporter
1956,EGFR,ENSG00000146648,chr7:55019021-55256620:+,15,25.5,,,,1,,
960,CD44,ENSG00000026508,chr11:35138870-35232402:+,15,24,,,,,,
3688,ITGB1,ENSG00000150093,chr10:32900319-33005792:-,15,23.5,,,,,,
5817,PVR,ENSG00000073008,chr19:44643798-44663583:+,15,23.5,,,,,,
23516,SLC39A14,ENSG00000104635,chr8:22367249-22434129:+,15,23.5,,,,,,1
1000,CDH2,ENSG00000170558,chr18:27950966-28177446:-,15,22.5,,,,,,
1829,DSG2,ENSG00000046604,chr18:31498043-31549008:+,15,22.5,,,,,,
358,AQP1,ENSG00000240583,chr7:30911855-30925516:+,15,21.5,,,,,,
3689,ITGB2,ENSG00000160255,chr21:44885953-44931989:-,15,21.5,,,,,,
6548,SLC9A1,ENSG00000090020,chr1:27098815-27166981:-,15,21.5,,,,,,1
57192,MCOLN1,ENSG00000090674,chr19:7522626-7534009:+,15,21.5,,,1,,,
2064,ERBB2,ENSG00000141736,chr17:39687914-39730426:+,15,20.5,,,,1,,
3897,L1CAM,ENSG00000198910,chrX:153861514-153909223:-,15,20.5,,,,,,
7048,TGFBR2,ENSG00000163513,chr3:30606502-30694142:+,15,20.5,,,,1,,
290,ANPEP,ENSG00000166825,chr15:89784889-89815401:-,15,20.5,,,,,1,
920,CD4,ENSG00000010610,chr12:6786858-6820808:+,15,20.5,,,,,,
8910,SGCE,ENSG00000127990,chr7:94585230-94656209:-,15,20,,,,,,
2065,ERBB3,ENSG00000065361,chr12:56079857-56103505:+,15,19.5,,,,1,,
999,CDH1,ENSG00000039068,chr16:68737225-68835548:+,15,18.5,,,,,,
5979,RET,ENSG00000165731,chr10:43077027-43130351:+,15,18.5,,,,1,,
1002,CDH4,ENSG00000179242,chr20:61252426-61940617:+,15,18.5,,,,,,
6533,SLC6A6,ENSG00000131389,chr3:14402576-14489349:+,15,18.5,,,,,,1
7010,TEK,ENSG00000120156,chr9:27109141-27230175:+,15,18,,,,1,,
3691,ITGB4,ENSG00000132470,chr17:75721328-75757818:+,15,18,,,,,,
3815,KIT,ENSG00000157404,chr4:54657918-54740715:+,15,17.5,,,,1,,
2324,FLT4,ENSG00000037280,chr5:180601506-180649624:-,15,17.5,,,,1,,
3140,MR1,ENSG00000153029,chr1:181033425-181061938:+,15,17.5,,,,,,
9635,CLCA2,ENSG00000137975,chr1:86424086-86456558:+,15,16.5,,,1,,,
6520,SLC3A2,ENSG00000168003,chr11:62856102-62888875:+,14,25,,,,,,1
6510,SLC1A5,ENSG00000105281,chr19:46774883-46788594:-,14,24.5,,,,,,1
6513,SLC2A1,ENSG00000117394,chr1:42925375-42959173:-,14,23.5,,,,,,1
4684,NCAM1,ENSG00000149294,chr11:112961247-113278436:+,14,22.5,,,,,,
5420,PODXL,ENSG00000128567,chr7:131500262-131558217:-,14,22.5,,,,,,
102,ADAM10,ENSG00000137845,chr15:58588807-58749978:-,14,22.5,,,,,1,
5819,PVRL2,ENSG00000130202,chr19:44846175-44889228:+,14,22.5,,,,,,
1947,EFNB1,ENSG00000090776,chrX:68828997-68842147:+,14,22.5,,,,,,
483,ATP1B3,ENSG00000069849,chr3:141876124-141926514:+,14,22.5,,,,,,1
4907,NT5E,ENSG00000135318,chr6:85449584-85495791:+,14,21.5,,,,,1,
4233,MET,ENSG00000105976,chr7:116672390-116798386:+,14,21,,,,1,,
355,FAS,ENSG00000026103,chr10:88990531-89015785:+,14,21,,,,,,
3693,ITGB5,ENSG00000082781,chr3:124761948-124901418:-,14,20.5,,,,,,
26509,MYOF,ENSG00000138119,chr10:93306429-93482317:-,14,20.5,,,,,,
4756,NEO1,ENSG00000067141,chr15:73051710-73305206:+,14,20.5,,,,,,
23705,CADM1,ENSG00000182985,chr11:115169218-115504957:-,14,20,,,,,,
4072,EPCAM,ENSG00000119888,chr2:47345158-47387601:+,14,19.5,,,,,,
24145,PANX1,ENSG00000110218,chr11:94128928-94181972:+,14,19.5,,,1,,,
5802,PTPRS,ENSG00000105426,chr19:5158495-5340803:-,14,19.5,,,,,1,
