symbol	Entrez	UNIPROT	EV_number of experiment	Colorectal cancer cells	Ovarian cancer cells	Breast cancer cells	Kidney cancer cells	Glioblastoma cells	Lung cancer cells	Stomach cancer cells	Hepatoma cells	Pancreatic cancer cells	Pancreatic adenocarcinoma cells
PDCD6IP	10015	Q8WUM4	65	23	11	6	3	15	3	2	0	1	1
CD63	967	P08962	65	21	6	12	1	10	8	1	2	0	4
HLA-A	3105	P04439	65	20	17	7	7	2	12	0	0	0	0
ACTB	60	P60709	60	29	8	10	2	8	3	0	0	0	0
CD9	928	P21926	58	21	9	4	3	11	6	0	0	0	4
SLC3A2	6520	P08195	57	19	7	12	5	10	4	0	0	0	0
CD81	975	P60033	57	26	7	8	3	6	4	0	0	0	3
HSP90AA1	3320	P07900	56	23	10	3	7	10	0	0	0	0	3
PPIA	5478	P62937	56	19	7	4	5	15	6	0	0	0	0
PKM	5315	P14618	55	26	10	5	2	11	1	0	0	0	0
YWHAE	7531	P62258	55	23	6	6	4	11	5	0	0	0	0
PSMD11	5717	O00231	55	20	10	4	2	9	10	0	0	0	0
HSP90AB1	3326	P08238	54	19	9	4	6	13	3	0	0	0	0
EEF2	1938	P13639	54	20	8	5	4	12	5	0	0	0	0
KRT9	3857	P35527	54	22	10	5	1	14	2	0	0	0	0
FASN	2194	P49327	53	24	10	6	3	9	1	0	0	0	0
ITGB1	3688	P05556	53	20	13	5	3	7	3	2	0	0	0
KRT1	3848	P04264	52	22	7	5	0	14	4	0	0	0	0
YWHAZ	7534	P63104	52	24	9	5	4	9	1	0	0	0	0
LGALS3BP	3959	Q08380	52	20	10	5	2	13	2	0	0	0	0
TSG101	7251	Q99816	51	22	9	6	1	6	4	2	0	1	0
LDHB	3945	P07195	51	19	11	4	3	10	4	0	0	0	0
PAICS	10606	P22234	51	21	8	4	2	7	9	0	0	0	0
GAPDH	2597	P04406	50	22	7	5	2	14	0	0	0	0	0
HSPA8	3312	P11142	50	21	9	6	0	12	2	0	0	0	0
TPI1	7167	P60174	50	22	10	2	2	12	2	0	0	0	0
TCP1	6950	P17987	50	20	9	2	4	8	7	0	0	0	0
ANXA1	301	P04083	50	18	10	4	3	13	2	0	0	0	0
ACTN1	87	P12814	50	20	10	4	4	6	6	0	0	0	0
RPS27A	6233	P62979	50	22	8	5	2	9	4	0	0	0	0
ENO1	2023	P06733	49	19	7	4	2	14	3	0	0	0	0
ANXA2	302	P07355	49	25	7	6	3	7	1	0	0	0	0
PGK1	5230	P00558	49	21	7	5	2	11	3	0	0	0	0
SDCBP	6386	O00560	49	24	7	2	2	7	2	0	0	0	5
ACTN4	81	O43707	49	22	7	2	4	7	7	0	0	0	0
ANXA4	307	P09525	49	23	11	3	5	3	4	0	0	0	0
HLA-C	3107	P10321	49	22	10	5	4	0	8	0	0	0	0
KRT2	3849	P35908	48	21	11	4	3	8	1	0	0	0	0
MYH9	4627	P35579	48	21	9	3	4	9	2	0	0	0	0
EPRS	2058	P07814	48	20	9	3	1	7	8	0	0	0	0
HIST1H4A	8359	B2R4R0	47	17	8	3	2	11	6	0	0	0	0
CCT2	10576	P78371	47	24	8	4	1	10	0	0	0	0	0
RAP1B	5908	P61224	47	24	8	5	3	5	2	0	0	0	0
YWHAG	7532	P61981	47	20	8	4	3	9	2	0	0	0	1
FLOT1	10211	O75955	47	24	9	5	2	4	3	0	0	0	0
IQGAP1	8826	P46940	47	17	11	4	5	8	2	0	0	0	0
MSN	4478	P26038	47	17	9	2	4	10	5	0	0	0	0
XRCC5	7520	P13010	47	16	8	3	5	7	7	0	0	0	1
TOLLIP	54472	Q9H0E2	47	20	9	4	1	3	10	0	0	0	0
HLA-DRB1	3123	P01911	47	9	10	7	11	0	10	0	0	0	0
PLEC	5339	Q15149	47	18	8	2	3	9	3	0	0	0	4
CLTC	1213	Q00610	46	21	8	5	0	8	4	0	0	0	0
HNRNPC	3183	P07910	46	17	8	3	1	13	4	0	0	0	0
TUBB	203068	P07437	45	18	6	4	6	8	3	0	0	0	0
ANXA5	308	P08758	45	21	11	5	1	5	2	0	0	0	0
CFL1	1072	P23528	45	23	8	2	1	5	6	0	0	0	0
FLNA	2316	P21333	45	18	10	2	5	8	2	0	0	0	0
TLN1	7094	Q9Y490	45	17	10	4	3	9	2	0	0	0	0
YWHAB	7529	P31946	45	20	9	2	4	8	2	0	0	0	0
UBA1	7317	P22314	45	21	11	3	0	7	2	0	0	0	1
TUBA1A	7846	Q71U36	45	20	8	4	2	9	2	0	0	0	0
PSMA7	5688	O14818	45	19	10	4	1	9	2	0	0	0	0
RPS3A	6189	P61247	45	18	8	3	3	3	9	0	0	0	1
RPL12	6136	P30050	45	20	8	3	1	9	4	0	0	0	0
UBR4	23352	Q5T4S7	45	19	7	4	5	1	9	0	0	0	0
AHCY	191	P23526	44	21	7	2	3	10	1	0	0	0	0
VCP	7415	P55072	44	16	7	5	4	8	4	0	0	0	0
PTGFRN	5738	Q9P2B2	44	21	8	2	1	7	5	0	0	0	0
EZR	7430	P15311	44	21	12	5	2	2	2	0	0	0	0
GNB1	2782	P62873	44	20	8	2	4	4	6	0	0	0	0
ANXA6	309	P08133	44	13	10	4	4	7	6	0	0	0	0
GNAI2	2771	P04899	44	17	10	3	4	7	3	0	0	0	0
MFGE8	4240	Q08431	44	17	9	4	3	7	4	0	0	0	0
PAFAH1B1	5048	P43034	44	20	7	2	5	0	10	0	0	0	0
AHNAK	79026	Q09666	44	14	10	5	4	1	10	0	0	0	0
DYNC1H1	1778	Q14204	44	15	11	3	2	10	3	0	0	0	0
PSMC3	5702	P17980	44	16	10	3	5	2	8	0	0	0	0
PSMB1	5689	P20618	44	15	10	4	6	7	2	0	0	0	0
EIF3L	51386	Q9Y262	44	16	5	3	6	7	7	0	0	0	0
RAP2C	57826	Q9Y3L5	44	21	11	4	4	1	3	0	0	0	0
CD46	4179	P15529	44	22	10	3	5	0	4	0	0	0	0
EEF1A1	1915	P68104	43	20	10	2	2	8	1	0	0	0	0
RAC1	5879	P63000	43	17	10	5	3	4	4	0	0	0	0
NPM1	4869	P06748	43	16	11	2	2	8	4	0	0	0	0
FLNB	2317	O75369	43	17	10	3	3	7	3	0	0	0	0
BROX	148362	Q5VW32	43	21	12	3	2	1	4	0	0	0	0
XRCC6	2547	P12956	43	18	11	2	2	2	8	0	0	0	0
RAB14	51552	P61106	43	20	10	3	4	1	5	0	0	0	0
PSMA6	5687	P60900	43	19	7	4	6	7	0	0	0	0	0
ACTBL2	345651	Q562R1	43	19	10	3	3	1	7	0	0	0	0
HEXB	3074	P07686	43	11	12	2	5	6	7	0	0	0	0
HSPG2	3339	P98160	43	20	11	2	3	1	6	0	0	0	0
YWHAQ	10971	P27348	42	23	7	3	0	9	0	0	0	0	0
ATP1A1	476	P05023	42	19	7	5	4	5	2	0	0	0	0
