Cancer Type	Primary Site	Abbreviations	ENSEMBL Gene ID	HGNC Symbol	caGESP Tier
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000004846	ABCB5	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000004846	ABCB5	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000121270	ABCC11	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000125257	ABCC4	Tier I
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000014257	ACPP	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000196839	ADA	Tier III
Thymoma	Thymus	THYM	ENSG00000196839	ADA	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000104755	ADAM2	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000078295	ADCY2	Tier III
Glioblastoma multiforme	Brain	GBM	ENSG00000155897	ADCY8	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000155897	ADCY8	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000078549	ADCYAP1R1	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000197177	ADGRA1	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000197177	ADGRA1	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000150471	ADGRL3	Tier III
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000188157	AGRN	Tier III
Uterine Corpus Endometrial Carcinoma	Uterine	UCEC	ENSG00000163286	ALPPL2	Tier I
Testicular Germ Cell Tumors	Testis	TGCT	ENSG00000163286	ALPPL2	Tier I
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000104537	ANXA13	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000105290	APLP1	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000084234	APLP2	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000171885	AQP4	Tier I
Brain Lower Grade Glioma	Brain	LGG	ENSG00000171885	AQP4	Tier I
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000198576	ARC	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000148219	ASTN2	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000148219	ASTN2	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000148219	ASTN2	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000148219	ASTN2	Tier III
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000105409	ATP1A3	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000143153	ATP1B1	Tier II
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000143153	ATP1B1	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000143153	ATP1B1	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000129244	ATP1B2	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000129244	ATP1B2	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000105929	ATP6V0A4	Tier I
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000104043	ATP8B4	Tier II
Cholangiocarcinoma	Bile Duct	CHOL	ENSG00000179913	B3GNT3	Tier III
Colon adenocarcinoma	Colon	COAD	ENSG00000179913	B3GNT3	Tier II
Pancreatic adenocarcinoma	Pancreas	PAAD	ENSG00000179913	B3GNT3	Tier III
Rectum adenocarcinoma	Rectal	READ	ENSG00000179913	B3GNT3	Tier II
Kidney Chromophobe	Kidney	KICH	ENSG00000182240	BACE2	Tier II
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000182240	BACE2	Tier II
Ovarian serous cystadenocarcinoma	Ovary	OV	ENSG00000187244	BCAM	Tier II
Mesothelioma	Pleura	MESO	ENSG00000100739	BDKRB1	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000170819	BFSP2	Tier I
Kidney Chromophobe	Kidney	KICH	ENSG00000138696	BMPR1B	Tier III
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000138696	BMPR1B	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000172270	BSG	Tier I
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000228594	C1orf233	Tier III
Uveal Melanoma	Eye	UVM	ENSG00000228594	C1orf233	Tier III
Kidney Chromophobe	Kidney	KICH	ENSG00000074410	CA12	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000074410	CA12	Tier III
Skin Cutaneous Melanoma	Skin	SKCM	ENSG00000118298	CA14	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000118298	CA14	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000107159	CA9	Tier II
Pheochromocytoma and Paraganglioma	Adrenal Gland	PCPG	ENSG00000166862	CACNG2	Tier II
Glioblastoma multiforme	Brain	GBM	ENSG00000075461	CACNG4	Tier II
Brain Lower Grade Glioma	Brain	LGG	ENSG00000075461	CACNG4	Tier II
Thyroid carcinoma	Thyroid	THCA	ENSG00000182985	CADM1	Tier III
Brain Lower Grade Glioma	Brain	LGG	ENSG00000105767	CADM4	Tier II
Prostate adenocarcinoma	Prostate	PRAD	ENSG00000171302	CANT1	Tier I
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000177455	CD19	Tier II
Thymoma	Thymus	THYM	ENSG00000158477	CD1A	Tier I
Thymoma	Thymus	THYM	ENSG00000158485	CD1B	Tier I
Thymoma	Thymus	THYM	ENSG00000158488	CD1E	Tier I
Kidney renal clear cell carcinoma	Kidney	KIRC	ENSG00000272398	CD24	Tier II
Kidney renal papillary cell carcinoma	Kidney	KIRP	ENSG00000272398	CD24	Tier II
Sarcoma	Soft Tissue	SARC	ENSG00000103855	CD276	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000105383	CD33	Tier III
Acute Myeloid Leukemia	Bone Marrow	LAML	ENSG00000004468	CD38	Tier III
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000167286	CD3D	Tier III
Thymoma	Thymus	THYM	ENSG00000167286	CD3D	Tier I
Uveal Melanoma	Eye	UVM	ENSG00000026508	CD44	Tier II
Lymphoid Neoplasm Diffuse Large B-cell Lymphoma	Lymph Nodes	DLBC	ENSG00000169442	CD52	Tier II
Adrenocortical carcinoma	Adrenal Gland	ACC	ENSG00000135404	CD63	Tier II
